,ID,Text,Hate_pos,Hate_pos_LLM,Hate_neg_LLM,Opinions_LLM,Raw_output_LLM,Hate_diff,Hate_diff_norm,Hate_distance_mean,Hate_distance_mean_LLM
0,154,"Because they're not a news outlet, they're producing war propaganda for the white genocide.",0.5,0.6,0.4,"[""The post suggests that a group is producing 'war propaganda,' which could be interpreted as a call for violence or incitement, though it is not explicit."", ""The term 'white genocide' is often associated with conspiracy theories and can be seen as demeaning or degrading to certain racial groups, potentially falling under assaults on human dignity."", ""The post does not contain explicit vulgarity or offensive language, but the use of 'white genocide' could be considered offensive to some."", ""Some annotators might view the post as a critique of media bias rather than hate speech, focusing on the 'not a news outlet' part."", 'The post could be seen as perpetuating harmful stereotypes or conspiracy theories, which some might classify as hate speech.']","The post contains language that could be interpreted as promoting harmful conspiracy theories and potentially inciting violence, particularly with the use of 'white genocide.' However, it lacks explicit calls for violence or vulgar language, leading to potential disagreement among annotators. Some may see it as a critique of media, while others may view it as hate speech due to its implications. Therefore, there is likely to be moderate disagreement among annotators, with an estimated 60% classifying it as hate speech and 40% not.",0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998
1,255,"Slight correction: ""If Vox Day were not of the type to get butthurt over some nonsense nondrama and lash out at Gab like the over-inflated buffoon he is...""",0.5,0.1,0.9,"[""The post uses offensive language ('butthurt', 'over-inflated buffoon') which may be considered vulgar or derogatory, but it is not directed at a protected group, so it may not be classified as hate speech."", 'The post does not contain any explicit calls for violence or incitement to harm, so it is unlikely to be classified as hate speech based on this aspect.', 'The post targets an individual (Vox Day) rather than a group based on protected characteristics, so it may not be considered an assault on human dignity in the context of hate speech.', 'Some annotators might view the language as unnecessarily harsh or offensive, but not rising to the level of hate speech.']","The post contains offensive language directed at an individual, but it does not meet the criteria for hate speech as it lacks elements of group-based demeaning, calls for violence, or targeting based on protected characteristics. Therefore, it is likely that a small percentage of annotators might classify it as hate speech due to the offensive language, but the majority would not. The disagreement level is low as the post does not clearly fall into hate speech categories.",0.4,0.4000000000000001,0.0,0.4
2,546,Another perverted Catholic priest.  Deplorable reprobates!  http://via.wnep.com/Uo5Vz,0.5,0.4,0.6,"[""The post uses the term 'perverted' and 'deplorable reprobates' which could be seen as vulgar and offensive language, potentially targeting a religious group (Catholics)."", 'The post does not explicitly call for violence or physical harm against any individual or group.', 'The post could be interpreted as an assault on human dignity by demeaning a group based on religion, specifically targeting Catholic priests.', 'Some annotators might view the post as a critique of specific individuals (Catholic priests involved in scandals) rather than a general attack on the Catholic religion, thus not classifying it as hate speech.', 'The post might be seen as expressing frustration or anger towards a specific issue (abuse scandals) rather than promoting hate against a group.']","The post contains language that could be interpreted as offensive and demeaning towards Catholic priests, potentially classifying it as hate speech. However, it does not explicitly call for violence, and some may see it as a critique of specific individuals rather than a religious group as a whole. This could lead to a moderate level of disagreement among annotators, with approximately 40% classifying it as hate speech and 60% not classifying it as such.",0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998
3,647,#Europe #Germany #Rape #Islam #Muslims #Migrants #MuslimMigrants #Immigration #IslamicImmigration ,0.5,0.6,0.4,"['The post uses hashtags that could be seen as targeting Muslims and migrants, potentially demeaning them based on religion and immigration status, which could be considered an assault on human dignity.', 'The post does not contain explicit calls for violence, so it may not be seen as inciting or encouraging physical harm.', 'The use of hashtags like #Rape and #Islam together could be interpreted as offensive or as perpetuating negative stereotypes, which might be seen as vulgar or offensive language.', 'Some annotators might view the post as simply highlighting a controversial topic without explicit hate speech, focusing on the informational aspect rather than the potential for harm.']","The post contains a series of hashtags that could be interpreted in different ways. Some annotators might see the combination of hashtags as an attempt to link negative stereotypes with certain groups, particularly Muslims and migrants, which could be considered an assault on human dignity. However, the post does not explicitly call for violence, which might lead some annotators to classify it as not hate speech. The use of potentially offensive hashtags could also be seen as vulgar or offensive language, but this interpretation might vary. Overall, there is likely to be some disagreement among annotators, with a slight majority potentially viewing it as hate speech due to the negative connotations and associations implied by the hashtags.",0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998
4,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,0.3,0.7,"[""The post contains vulgarity and offensive language ('fuck you') which may be seen as inappropriate but not necessarily hate speech."", 'The post expresses a negative opinion about Spotify, which is not related to hate speech.', ""The phrase 'a disgusting picture designed to humiliate the White people of Australia' could be interpreted as an assault on human dignity, as it suggests that a group (White people of Australia) is being targeted for humiliation based on race or ethnicity."", 'Some annotators might see the post as defending a group (White people of Australia) against perceived humiliation, which could be interpreted as not being hate speech.', 'The post does not contain any explicit calls for violence.']","The post contains vulgar language directed at Spotify, which may be seen as offensive but not necessarily hate speech. The mention of a 'disgusting picture designed to humiliate the White people of Australia' could be interpreted as an assault on human dignity, as it suggests targeting a group based on race or ethnicity. However, some annotators might view the post as defending a group against perceived humiliation, which could be interpreted as not being hate speech. There are no explicit calls for violence in the post. Given these interpretations, there might be some disagreement among annotators, but it is likely to be low disagreement overall. Therefore, approximately 30% of annotators might classify it as hate speech, while 70% might not.",0.3,0.3,0.09999999999999998,0.2
5,888,"Texans in the vast plains, rivers, and the farmlands must gather, arm up, and declare independence from the United States of America. We are a nation of warriors that fell at the Alamo only to rise victorious, just as the Spartans did in the narrow pass against the Persians.  The USA needs us. We do not need those sickening fucktards",0.5,0.6,0.4,"[""The post contains a call for violence as it encourages Texans to 'arm up' and declare independence, which could be interpreted as inciting rebellion or violence against the United States."", ""The use of the term 'sickening fucktards' is vulgar and offensive, potentially degrading individuals or groups, although it is not explicitly directed at a specific protected characteristic."", 'The post may be seen as an expression of political opinion or hyperbolic rhetoric rather than a genuine call to violence, leading some to classify it as not hate speech.', 'The historical references to the Alamo and Spartans may be interpreted as an attempt to evoke a sense of pride or historical identity rather than incite violence, which could lead to disagreement among annotators.']","The post contains elements that could be interpreted as hate speech, particularly in its call for violence and use of offensive language. However, the historical and political context may lead some annotators to view it as hyperbolic or rhetorical rather than a genuine incitement to violence. This results in a moderate level of disagreement among annotators, with an estimated 60% classifying it as hate speech and 40% not classifying it as such.",0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998
6,1301,A church in Berlin was damaged after unknown attackers pelted stones at the building while shouting “Allahu Akbar!” https://www.infowars.com/berlin-attackers-hurl-sto...,0.5,0.4,0.6,"['The post reports on an incident involving an attack on a church, which could be seen as a religiously motivated assault, potentially degrading to the religious group targeted.', ""The phrase 'Allahu Akbar' is often associated with Islamic faith, and its use in this context might be interpreted as an attempt to incite religious tension or violence, although it does not explicitly call for violence."", 'The post does not contain vulgarity or offensive language, but the context of the attack and the phrase used could be seen as offensive to some readers.', 'Some annotators might view the post as simply reporting a news event without endorsing or promoting hate speech, focusing on the factual nature of the report.']","The post describes an attack on a church, which could be interpreted as a religiously motivated act, potentially degrading to the religious group involved. The use of 'Allahu Akbar' in this context might be seen as inciting religious tension, although it does not explicitly call for violence. The post lacks vulgarity or offensive language, but the context could be offensive to some. Some annotators might see it as a straightforward news report without hate speech. Given these interpretations, there might be moderate disagreement among annotators, with approximately 40% classifying it as hate speech and 60% not.",0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998
7,1302,A physician and former Green Beret has tweeted about the dangers of the ‘body positivity’ movement after Cosmopolitan featured an obese model on the cover of its UK edition. https://www.infowars.com/physician-warns-about-dan...,0.5,0.3,0.7,"[""The post critiques the 'body positivity' movement, which some annotators might see as a legitimate health concern rather than hate speech."", 'Some annotators might view the post as potentially demeaning to individuals who are obese, as it challenges the representation of an obese model in a positive light.', 'The post does not contain explicit calls for violence or physical harm against any group.', 'There is no use of vulgarity or offensive language in the post itself, though the linked article might contain such language.', 'The post could be seen as promoting a controversial opinion rather than hate speech, leading to differing interpretations among annotators.']","The post is likely to generate some disagreement among annotators due to its critique of the 'body positivity' movement, which can be interpreted in various ways. While some may see it as a health-related opinion, others might perceive it as demeaning to obese individuals. However, the absence of explicit vulgarity or calls for violence suggests that a majority might not classify it as hate speech. Therefore, I predict that 30% of annotators might classify it as hate speech, while 70% might not.",0.2,0.20000000000000004,0.0,0.2
8,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,0.6,0.4,"['The post may be seen as an assault on human dignity as it targets Islam, a religion, and communism, a political ideology, suggesting they are incompatible with a free society and should be banned.', 'Some annotators might view the post as a call for violence or discrimination against Muslims and communists by suggesting they need to be removed for the United States to survive.', 'Others might interpret the post as expressing a political opinion or critique of certain ideologies without necessarily inciting hate or violence.', 'The post does not contain vulgarity or offensive language, which might lead some annotators to classify it as not hate speech.']","The post suggests that Islam and communism are incompatible with a free society and should be banned for the United States to survive. This could be interpreted as an assault on human dignity, as it targets a religion and a political ideology, potentially inciting discrimination. However, it does not contain explicit vulgarity or offensive language, and some might see it as a political opinion rather than hate speech. Given these factors, there might be moderate disagreement among annotators, with approximately 60% classifying it as hate speech and 40% not.",0.19999999999999996,0.19999999999999996,0.09999999999999998,0.09999999999999998
9,1320,Commies  They need to be driven from this world. Now. And forever Misanthrope,0.5,0.6,0.4,"[""The post uses the term 'Commies' which could be interpreted as a derogatory term for communists, potentially demeaning individuals based on political ideology."", ""The phrase 'They need to be driven from this world' could be seen as a call for violence or harm against individuals identified as 'Commies'."", 'The post does not contain explicit vulgarity or offensive language, but the intent behind the words could be considered offensive to some.', ""Some annotators might view the post as expressing a strong political opinion rather than hate speech, especially if they interpret 'driven from this world' metaphorically rather than literally.""]","The post contains language that could be interpreted as demeaning and potentially inciting harm against a group based on political ideology. However, the lack of explicit vulgarity and the possibility of metaphorical interpretation might lead to some disagreement among annotators. Therefore, I predict that 60% of annotators might classify this as hate speech, while 40% might not.",0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998
