ID,Annotator,Text,Hate,HD,CV,VO,REL,RAE,SXO,GEN,IDL,NAT,POL,MPH,EX,IM
27318,4,"Christian cake baker who won SCOTUS case is now being harassed by demented Satanist homosexuals, backed by the state of Colorado.",1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
27318,15,"Christian cake baker who won SCOTUS case is now being harassed by demented Satanist homosexuals, backed by the state of Colorado.",0,0,0,0,,,,,,,,,,
27318,10,"Christian cake baker who won SCOTUS case is now being harassed by demented Satanist homosexuals, backed by the state of Colorado.",0,0,0,0,,,,,,,,,,
27318,8,"Christian cake baker who won SCOTUS case is now being harassed by demented Satanist homosexuals, backed by the state of Colorado.",1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27319,4,"This whole story is so absurd. None of these animals should be in the USA in the first place, and their anchor babies shouldn't be citizens. We don't just need to repeal birthright citizenship, we need to have a way of stripping citizenship from the spawn of foreign nationals.",0,0,0,0,,,,,,,,,,
27319,15,"This whole story is so absurd. None of these animals should be in the USA in the first place, and their anchor babies shouldn't be citizens. We don't just need to repeal birthright citizenship, we need to have a way of stripping citizenship from the spawn of foreign nationals.",1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27319,10,"This whole story is so absurd. None of these animals should be in the USA in the first place, and their anchor babies shouldn't be citizens. We don't just need to repeal birthright citizenship, we need to have a way of stripping citizenship from the spawn of foreign nationals.",0,0,0,0,,,,,,,,,,
27319,8,"This whole story is so absurd. None of these animals should be in the USA in the first place, and their anchor babies shouldn't be citizens. We don't just need to repeal birthright citizenship, we need to have a way of stripping citizenship from the spawn of foreign nationals.",1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27397,4,What is happening to Infowars right now is what is going to happen to your white children/grandchildren in the next 20 years.,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27397,15,What is happening to Infowars right now is what is going to happen to your white children/grandchildren in the next 20 years.,0,0,0,0,,,,,,,,,,
27397,10,What is happening to Infowars right now is what is going to happen to your white children/grandchildren in the next 20 years.,0,0,0,0,,,,,,,,,,
27397,8,What is happening to Infowars right now is what is going to happen to your white children/grandchildren in the next 20 years.,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27399,4,Where are the 'Do not tread on me' 2nd Amendment crowd? Why are there not Patriots in the streets? Why aren't Progressives having unfortunate accidents?,0,0,0,0,,,,,,,,,,
27399,15,Where are the 'Do not tread on me' 2nd Amendment crowd? Why are there not Patriots in the streets? Why aren't Progressives having unfortunate accidents?,0,0,0,0,,,,,,,,,,
27399,10,Where are the 'Do not tread on me' 2nd Amendment crowd? Why are there not Patriots in the streets? Why aren't Progressives having unfortunate accidents?,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27399,8,Where are the 'Do not tread on me' 2nd Amendment crowd? Why are there not Patriots in the streets? Why aren't Progressives having unfortunate accidents?,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27401,4,This is a reminder that the 'white extinction anxiety' article means that progressives are banking and planning on your childrens persecution.,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27401,15,This is a reminder that the 'white extinction anxiety' article means that progressives are banking and planning on your childrens persecution.,0,0,0,0,,,,,,,,,,
27401,10,This is a reminder that the 'white extinction anxiety' article means that progressives are banking and planning on your childrens persecution.,0,0,0,0,,,,,,,,,,
27401,8,This is a reminder that the 'white extinction anxiety' article means that progressives are banking and planning on your childrens persecution.,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27402,4,"Looking at the news today, it's clear that we are in a soft coup leading to outright anarchy by far left progressives/democrats/socialist. In my opinion we have already seen countless examples of outright sedition by most left wing politicians that should be facing felony charges. And they aren't. Trump must kill/deport/imprison them now.",1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27402,15,"Looking at the news today, it's clear that we are in a soft coup leading to outright anarchy by far left progressives/democrats/socialist. In my opinion we have already seen countless examples of outright sedition by most left wing politicians that should be facing felony charges. And they aren't. Trump must kill/deport/imprison them now.",0,0,0,0,,,,,,,,,,
27402,10,"Looking at the news today, it's clear that we are in a soft coup leading to outright anarchy by far left progressives/democrats/socialist. In my opinion we have already seen countless examples of outright sedition by most left wing politicians that should be facing felony charges. And they aren't. Trump must kill/deport/imprison them now.",0,0,0,0,,,,,,,,,,
27402,8,"Looking at the news today, it's clear that we are in a soft coup leading to outright anarchy by far left progressives/democrats/socialist. In my opinion we have already seen countless examples of outright sedition by most left wing politicians that should be facing felony charges. And they aren't. Trump must kill/deport/imprison them now.",1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27483,4,Not all Moslems are terrorists .....but nearly all terrorists are Moslem  #SpeakFreely,0,0,0,0,,,,,,,,,,
