,Text,Hate_MV,Hate_0,Hate_11,Hate_13,Reasoning_LLM,Hate_0_LLM,Hate_11_LLM,Hate_13_LLM,Raw_output_LLM,Hate_MV_LLM,Hate_MV_diff,Hate_0_diff,Hate_11_diff,Hate_13_diff
0,You're a funny guy. There's been no political will to use anti-trust laws for half a century or more.,0,0,0,0,"The post seems to be a commentary on the lack of political action regarding anti-trust laws. It does not appear to demean or degrade any individuals or groups based on protected characteristics, nor does it incite violence or use vulgar or offensive language. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech.",0,0,0,"The post is a critique of political inaction on anti-trust laws and does not exhibit any aspects of hate speech. Therefore, all annotators are likely to label it as not hate speech.",0,0,0,0,0
1,"Oh nice, I'll make sure to check it out. Good job on taking the initiative to spread the message and reach our a hand to our men and women!",0,0,0,0,"The post is positive and supportive, encouraging the spreading of a message and reaching out to men and women. It does not contain any assaults on human dignity, calls for violence, or vulgarity and offensive language. Therefore, it is unlikely to be considered hate speech by any of the annotators.",0,0,0,"The post is positive and supportive, encouraging the spreading of a message and reaching out to men and women. It does not contain any assaults on human dignity, calls for violence, or vulgarity and offensive language. Therefore, it is unlikely to be considered hate speech by any of the annotators. Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0.",0,0,0,0,0
2,Jus lock up and leave the keys on the desk,0,0,0,0,"The post 'Jus lock up and leave the keys on the desk' does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a neutral statement, possibly related to a routine action or instruction. Given the lack of any hate speech elements, it is likely that all three annotators would agree that this post does not constitute hate speech.",0,0,0,The post is neutral and lacks any elements of hate speech. It is likely to be labeled as non-hate speech by all annotators.,0,0,0,0,0
3,Poverty has a Black face in it...the idea of White poverty just doesn't fit into anyone's mind....in fact...talking about relieving White poverty or improving White conditions is mocked and ridiculed....Whites are disrespected when poor...,1,1,1,0,"The post discusses racial issues related to poverty, suggesting that white poverty is not taken seriously and is mocked. Andy might label this as hate speech due to the potential assault on human dignity by implying racial bias in societal attitudes towards poverty. Ben might also see this as hate speech, as it could be interpreted as an attempt to demean or degrade based on race, even though it doesn't use vulgar language. Chris might not label it as hate speech, as it doesn't contain explicit calls for violence or vulgar language, and could be seen as a commentary on societal perceptions rather than an attack on a specific group.",1,1,0,"Andy might label the post as hate speech because it suggests racial bias and could be seen as demeaning to certain racial groups. Ben might also label it as hate speech for similar reasons, focusing on the potential assault on human dignity. Chris might not label it as hate speech, as it lacks explicit vulgarity or calls for violence, and could be interpreted as a social commentary.",1,0,0,0,0
4,all pedos all child traffickers should be shot and killed and that means hollywood and the msm and  the so called elite democrats! kill them all,1,1,1,1,"The post explicitly calls for violence against specific groups, namely 'pedos,' 'child traffickers,' 'Hollywood,' 'the MSM,' and 'elite democrats.' This is a clear incitement to violence, which is a key aspect of hate speech. Additionally, the language used is aggressive and dehumanizing, which could be seen as an assault on human dignity. Andy is likely to label this as hate speech due to the explicit call for violence and the demeaning language. Ben, who tends to focus on calls for violence and vulgarity, would also likely label this as hate speech. Chris, who sometimes overlooks certain aspects, might still label this as hate speech due to the clear incitement to violence, which is difficult to ignore.",1,1,1,"The post contains a clear call for violence against specific groups, which is a strong indicator of hate speech. The language is aggressive and dehumanizing, targeting 'pedos,' 'child traffickers,' 'Hollywood,' 'the MSM,' and 'elite democrats.' Given the explicit nature of the call for violence, all three annotators, Andy, Ben, and Chris, are likely to agree that this post constitutes hate speech. Therefore, the labels would be: Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 1.",1,0,0,0,0
5,"Holding hands is punishable by death, but pedophilia is alright..... nice morals there #Muhammad. #Islam",1,1,1,0,"The post makes a derogatory statement about Islam and the Prophet Muhammad, suggesting that the religion has skewed morals. This could be seen as an assault on human dignity by demeaning a religious group. The use of sarcasm and the hashtag #Muhammad could be interpreted as offensive. Andy, who tends to label posts as hate speech when they demean groups, is likely to label this as hate speech. Ben, who also considers demeaning language as hate speech, might agree with Andy. Chris, who is more lenient and often does not label posts as hate speech unless they are explicitly violent or use extreme vulgarity, might not label this as hate speech.",1,1,0,"Andy is likely to label the post as hate speech due to its demeaning nature towards Islam and the Prophet Muhammad, which he often considers as an assault on human dignity. Ben might also label it as hate speech because it targets a religious group with derogatory language. Chris, however, might not label it as hate speech since it does not explicitly call for violence or use extreme vulgarity, which are the aspects he focuses on more.",1,0,0,0,0
6,@jolokia @ThePraedor‍  ,1,1,1,0,"The target post contains only mentions of two users, '@jolokia' and '@ThePraedor', without any additional context or content. There is no explicit or implicit language that suggests assaults on human dignity, calls for violence, or vulgarity/offensive language. Given the lack of content, it is unlikely that any of the annotators would label this as hate speech. The post is straightforward and does not contain any ambiguous or context-specific language that would lead to disagreement among the annotators.",0,0,0,"The post contains only user mentions and lacks any content that could be interpreted as hate speech. Therefore, it is expected that all annotators would agree that this post does not constitute hate speech. Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0.",0,1,1,1,0
7,12 Oct 2018 - This Lady is Koo-Koo... Loco in la cabeza - Senate Democratic Candidate: “I Don’t Care” if People Go Fight for the Taliban Against US (AUDIO) - https://www.thegatewaypundit.com/2018/10/senate-democratic-candidate-i-dont-care-if-people-go-fight-for-the-taliban-against-us-video/,0,1,0,0,"The post uses derogatory language ('Koo-Koo', 'Loco in la cabeza') to describe a Senate Democratic candidate, which could be seen as demeaning or degrading. However, it does not explicitly target a protected characteristic such as race, ethnicity, gender, etc. The post does not contain calls for violence or use vulgar or offensive language beyond the derogatory terms. Andy might label it as hate speech due to the demeaning language, while Ben and Chris might not see it as hate speech since it lacks explicit hate speech elements like calls for violence or targeting protected characteristics.",1,0,0,"The post uses derogatory language ('Koo-Koo', 'Loco in la cabeza') to describe a Senate Democratic candidate, which could be seen as demeaning or degrading. However, it does not explicitly target a protected characteristic such as race, ethnicity, gender, etc. The post does not contain calls for violence or use vulgar or offensive language beyond the derogatory terms. Andy might label it as hate speech due to the demeaning language, while Ben and Chris might not see it as hate speech since it lacks explicit hate speech elements like calls for violence or targeting protected characteristics.",0,0,0,0,0
8,Anyone Who Isn't Islamic Is Racist? | Religion Of Intolerance. ,1,1,1,0,"The post seems to be making a generalization about Islam, suggesting that it is a 'Religion Of Intolerance.' This could be seen as an assault on human dignity by demeaning a religious group. However, it does not explicitly call for violence or use vulgar language. Andy might label it as hate speech due to the negative portrayal of Islam, which aligns with his tendency to label posts that demean groups as hate speech. Ben might not label it as hate speech because it lacks explicit calls for violence or offensive language, and he tends to be more lenient unless there is a clear incitement or vulgarity. Chris might also not label it as hate speech, as he often requires more explicit language or calls for violence to consider a post as such.",1,0,0,"Andy is likely to label the post as hate speech due to its negative portrayal of Islam, which he might see as an assault on human dignity. Ben and Chris are less likely to label it as hate speech because it lacks explicit calls for violence or vulgar language, which they often require to categorize a post as hate speech.",0,1,0,1,0
9,"LOL I love it that  they straight out  deny the not so holy kike book ,and without  IT their fake ass religion goes straight  down the drain LOL",1,1,1,0,"The post uses the term 'kike,' which is a derogatory slur against Jewish people, indicating an assault on human dignity. It also mocks and degrades a religious text and the associated religion, which can be seen as an attack on religious identity. The use of 'LOL' and the overall tone suggest a dismissive and mocking attitude, which may not directly call for violence but certainly uses vulgar and offensive language. Andy is likely to label this as hate speech due to the use of a racial slur and the demeaning of a religion. Ben, who also tends to label posts with racial slurs as hate speech, is likely to agree with Andy. Chris, who sometimes does not label posts as hate speech even when they contain slurs, might not label this as hate speech, but given the clear use of a racial slur and the attack on a religion, he might also label it as hate speech in this case.",1,1,1,"The post contains a racial slur ('kike') and mocks a religious text, which is likely to be considered hate speech by all three annotators. Andy and Ben are consistent in labeling posts with racial slurs as hate speech, and Chris, although sometimes more lenient, is likely to agree in this case due to the clear derogatory language and attack on a religion. Therefore, all three annotators would likely label this post as hate speech.",1,0,0,0,1
