,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
0,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,0.4,0.7,0.3,"The post contains vulgar language ('fuck you') and suggests that Spotify is involved in an action ('a disgusting picture') that is perceived as humiliating a racial group ('White people of Australia'). This can be seen as an assault on human dignity, as it implies racial degradation. The use of offensive language and the racial context may lead to a higher percentage of annotators classifying it as hate speech, though some may not see it as a direct call for violence or a severe assault on dignity, leading to some disagreement.","The post uses offensive language and implies racial degradation, which aligns with aspects of hate speech. However, it does not explicitly call for violence, and the interpretation of the post's intent may vary among annotators, leading to some disagreement.",0.09999999999999998
1,1303,"A White House petition calling on Congress to defend free speech online is set to surpass 100,000 signatures by the end of today, just three days after it was launched. https://www.infowars.com/white-house-petition-to-d...",0.0,1.0,0.0,1.0,"The post is a straightforward report about a White House petition related to free speech online. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is neutral and factual, focusing on the number of signatures a petition has received. Therefore, it is unlikely to be classified as hate speech by annotators, leading to low disagreement.","The post is a straightforward report about a White House petition related to free speech online. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is neutral and factual, focusing on the number of signatures a petition has received. Therefore, it is unlikely to be classified as hate speech by annotators, leading to low disagreement.",0.0
2,1313,No humans can deliver God’s word. Read the gospels and interpret them in you heart. After the last apostle died man was on his own. Humans to flawed to preach.,0.0,1.0,0.0,1.0,"The post does not contain any elements of hate speech. It does not demean or degrade any group, call for violence, or use vulgar or offensive language. It is a religious opinion about the interpretation of the gospels and the role of humans in delivering God's word. The content is clear and unlikely to be interpreted as hate speech, leading to low disagreement among annotators.","The post is a religious statement about the interpretation of the gospels and the role of humans in delivering God's word. It does not contain any elements of hate speech, such as demeaning language, calls for violence, or vulgarity. Therefore, it is likely that annotators would agree that this post is not hate speech, resulting in low disagreement. The predicted percentages are [0.0, 1.0], indicating that none of the annotators would classify it as hate speech.",0.0
3,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,0.6,0.7,0.3,"The post makes a sweeping negative statement about Islam and communism, suggesting they are incompatible with a free society and should be banned for the United States to survive. This can be seen as an assault on human dignity, particularly targeting a religious group (Islam) and a political ideology (communism). The call to ban these groups could be interpreted as a call for exclusion or discrimination, which aligns with aspects of hate speech. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. Therefore, there is likely to be some level of disagreement, but the post leans towards being classified as hate speech due to its exclusionary and demeaning nature.","The post suggests that Islam and communism are incompatible with a free society and should be banned for the United States to survive. This can be interpreted as an assault on human dignity, as it targets a religious group (Islam) and a political ideology (communism) with exclusionary language. While it does not explicitly call for violence, the suggestion to ban these groups could be seen as promoting discrimination. The post does not contain vulgar or offensive language, but its content is likely to be seen as demeaning to certain groups. Given these factors, there is likely to be some disagreement among annotators, but the post leans towards being classified as hate speech due to its exclusionary and demeaning nature.",0.29999999999999993
4,1315,John McCain The word Humility does not apply to that family. What a disgrace,0.2,0.8,0.2,0.8,"The post criticizes John McCain and his family, calling them a disgrace and lacking humility. However, it does not contain any explicit assaults on human dignity, calls for violence, or use of vulgar or offensive language. The criticism is more about personal opinion on character rather than hate speech. Therefore, it is likely that most annotators would not classify this as hate speech, leading to low disagreement.","The post criticizes John McCain and his family, calling them a disgrace and lacking humility. However, it does not contain any explicit assaults on human dignity, calls for violence, or use of vulgar or offensive language. The criticism is more about personal opinion on character rather than hate speech. Therefore, it is likely that most annotators would not classify this as hate speech, leading to low disagreement. [0.2, 0.8]",0.0
5,1442,"By nearly every metric, we're doing better under Trump than Obama:    Unemployment at near record lows   Black unemployment at record lows   GDP higher than its been in years   Taxes lower for most people   Stock exchanges at record highs    So why do the left hate him so much?   🤔🤔🤔",0.2,0.8,0.0,1.0,"The post presents a series of economic metrics to argue that the current administration is performing better than the previous one. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is a political opinion piece that questions the opposition's dislike for the current administration, which is a common political discourse. Therefore, it is unlikely to be classified as hate speech by annotators.","The post is a political opinion piece that discusses economic metrics under different administrations. It does not contain any elements of hate speech, such as assaults on human dignity, calls for violence, or vulgar language. The post is straightforward and unlikely to cause disagreement among annotators regarding its classification as hate speech.",0.2
6,1678,"free speech Twitter alternative Gab. Although Gab has experienced a surge of users following the big tech blacklisting of Alex Jones, as well as a wave of users from Kenya and Brazil following social media crackdowns related to those countries",0.2,0.8,0.2,0.8,"The post discusses the increase in users on the social media platform Gab, particularly following events related to Alex Jones and social media crackdowns in Kenya and Brazil. There is no language in the post that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is factual and neutral in tone, focusing on the growth of a platform rather than promoting hate speech. Therefore, it is likely that the majority of annotators would classify this post as not hate speech, resulting in low disagreement.","The post is a factual statement about the growth of the social media platform Gab, particularly in the context of users joining from Kenya and Brazil after social media crackdowns, and following the blacklisting of Alex Jones by big tech. There is no language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is neutral and does not exhibit characteristics of hate speech. Therefore, it is likely that the majority of annotators would classify this post as not hate speech, resulting in low disagreement. Predicted percentages: [0.2, 0.8].",0.0
7,2059,Study: Google Pushes Liberal News in Top 5 Search Suggestions via @descarteslover http://bit.ly/2NAEfo6,0.0,1.0,0.0,1.0,"The post discusses a study about Google's search suggestions and implies a bias towards liberal news. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is straightforward and does not exhibit characteristics of hate speech, leading to a likely consensus among annotators that it is not hate speech.","The post is a straightforward statement about a study on Google's search suggestions, implying a bias towards liberal news. It does not contain any elements that would classify it as hate speech, such as assaults on human dignity, calls for violence, or vulgar language. Therefore, it is likely that annotators would agree that this post is not hate speech, resulting in low disagreement and a high percentage of annotators classifying it as not hate speech.",0.0
8,2060,"Abortion: The Left tried to get Legislation passed, they lost. Went to a Liberal Supreme Court and forced it on us.  Gay Marriage: Tried to pass it in States, they lost. Tried to pass it in Congress, they lost.  Went to a Liberal Judge and forced it on us.   Trump: They lost to him now they seek to remove him from office. Are you seeing a pattern here?",0.2,0.8,0.2,0.8,"The post discusses political and social issues such as abortion, gay marriage, and the presidency of Trump. It frames these issues in terms of political losses and judicial decisions, suggesting a pattern of liberal imposition. The language used does not contain vulgarity or offensive language, nor does it explicitly demean or degrade individuals or groups based on protected characteristics. There are no calls for violence. The post is likely to be interpreted as a political opinion rather than hate speech, leading to low disagreement among annotators.","The post is a political commentary on how certain social and political issues have been handled in the United States, particularly focusing on the role of liberal judges and courts in advancing policies that the author suggests were not supported by legislative or popular vote. The language is critical of liberal approaches but does not contain explicit hate speech elements such as demeaning language, calls for violence, or vulgarity. Therefore, it is likely that a majority of annotators would not classify this as hate speech, resulting in a prediction of [0.2, 0.8] for hate speech vs. not hate speech.",0.0
9,2062,I am a Roman Catholic.  Our church is corrupt.  We need reformation.,0.4,0.6,0.0,1.0,"The post expresses a personal opinion about the need for reformation within the Roman Catholic Church, which is a critique of an institution rather than an attack on individuals or groups based on protected characteristics. It does not contain any vulgar or offensive language, nor does it call for violence. Therefore, it is unlikely to be classified as hate speech by annotators, leading to low disagreement.","The post is a personal critique of the Roman Catholic Church, calling for reformation. It does not demean or degrade individuals or groups based on protected characteristics, nor does it incite violence or use offensive language. The content is clear and unlikely to be interpreted as hate speech, resulting in low disagreement among annotators.",0.4
