,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
0,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,0.4,0.6,0.4,"The post contains offensive language ('fuck you') and expresses a sentiment that could be interpreted as demeaning towards a racial group ('humiliate the White people of Australia'). This could be seen as an assault on human dignity, depending on the context of the 'disgusting picture' mentioned. However, the post does not explicitly call for violence. The ambiguity lies in the interpretation of the picture's intent and the severity of the language, which may lead to some disagreement among annotators.","The post uses vulgar language and suggests that a picture is intended to humiliate a racial group, which could be seen as an assault on human dignity. However, it does not call for violence. The offensive language and the context of the picture's intent may lead to some annotators viewing it as hate speech, while others may not, resulting in moderate disagreement.",0.0
1,1303,"A White House petition calling on Congress to defend free speech online is set to surpass 100,000 signatures by the end of today, just three days after it was launched. https://www.infowars.com/white-house-petition-to-d...",0.0,1.0,0.1,0.9,"The post is a straightforward report about a White House petition related to free speech online. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is neutral and factual, focusing on the number of signatures a petition has received. Therefore, it is likely to be classified as not hate speech by the majority of annotators, resulting in low disagreement.","The post is a straightforward report about a White House petition related to free speech online. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is neutral and factual, focusing on the number of signatures a petition has received. Therefore, it is likely to be classified as not hate speech by the majority of annotators, resulting in low disagreement.",0.1
2,1313,No humans can deliver God’s word. Read the gospels and interpret them in you heart. After the last apostle died man was on his own. Humans to flawed to preach.,0.0,1.0,0.1,0.9,"The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It expresses a religious opinion about the interpretation of religious texts and the role of humans in delivering religious messages. This is likely to be seen as a personal belief rather than hate speech, leading to low disagreement among annotators.","The post is a religious opinion about the interpretation of religious texts and the role of humans in delivering religious messages. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be classified as hate speech by most annotators, leading to low disagreement. The predicted percentages are [0.1, 0.9], with 10% classifying it as hate speech and 90% not classifying it as hate speech.",0.1
3,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,0.6,0.6,0.4,"The post suggests that Islam and communism are incompatible with a free society and calls for their banning in the United States. This can be seen as an assault on human dignity, particularly targeting a religious group (Islam) and a political ideology (communism). The post does not explicitly call for violence, but the suggestion of banning can be interpreted as a form of exclusion or discrimination. The language is not overtly vulgar or offensive, but the implications of the message can be seen as degrading to those who identify with Islam or communism. Given the potential for different interpretations of whether this constitutes hate speech, there is likely to be moderate disagreement among annotators.","The post suggests that Islam and communism are incompatible with a free society and calls for their banning in the United States. This can be seen as an assault on human dignity, particularly targeting a religious group (Islam) and a political ideology (communism). The post does not explicitly call for violence, but the suggestion of banning can be interpreted as a form of exclusion or discrimination. The language is not overtly vulgar or offensive, but the implications of the message can be seen as degrading to those who identify with Islam or communism. Given the potential for different interpretations of whether this constitutes hate speech, there is likely to be moderate disagreement among annotators.",0.19999999999999996
4,1315,John McCain The word Humility does not apply to that family. What a disgrace,0.2,0.8,0.1,0.9,"The post criticizes John McCain and his family by calling them a 'disgrace' and stating that 'humility does not apply to that family.' However, it does not specifically target any protected characteristic such as race, ethnicity, gender, etc., nor does it call for violence or use vulgar language. The criticism is more about personal or political opinion rather than hate speech. Therefore, it is likely that most annotators would not classify this as hate speech, leading to low disagreement.","The post criticizes John McCain and his family, but it does not contain elements that typically constitute hate speech, such as assaults on human dignity based on protected characteristics, calls for violence, or vulgar language. The language used is more of a personal opinion or political critique rather than hate speech. Therefore, it is likely that the majority of annotators would classify this as not hate speech, resulting in low disagreement.",0.1
5,1442,"By nearly every metric, we're doing better under Trump than Obama:    Unemployment at near record lows   Black unemployment at record lows   GDP higher than its been in years   Taxes lower for most people   Stock exchanges at record highs    So why do the left hate him so much?   🤔🤔🤔",0.2,0.8,0.1,0.9,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It presents a political opinion comparing the performance of two U.S. presidents and questions the opposition's dislike for one of them. The language used is neutral and factual, focusing on economic metrics. Therefore, it is unlikely to be classified as hate speech by most annotators, leading to low disagreement.","The post is a political opinion piece that compares the economic performance under two U.S. presidents, Trump and Obama. It lists several economic indicators and questions why there is opposition to Trump. The post does not contain any language that degrades or demeans individuals or groups based on protected characteristics, nor does it incite violence or use offensive language. As such, it is unlikely to be classified as hate speech by most annotators, resulting in low disagreement. The predicted percentages are [0.1, 0.9], indicating that 10% might see it as hate speech due to potential political bias, while 90% would not classify it as hate speech.",0.1
6,1678,"free speech Twitter alternative Gab. Although Gab has experienced a surge of users following the big tech blacklisting of Alex Jones, as well as a wave of users from Kenya and Brazil following social media crackdowns related to those countries",0.2,0.8,0.1,0.9,"The post discusses the platform Gab as a free speech alternative to Twitter, mentioning an increase in users following certain events. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is informational and does not exhibit characteristics of hate speech, leading to a likely consensus among annotators that it is not hate speech.","The post is informational and does not contain elements of hate speech. It discusses the growth of a social media platform without demeaning individuals or groups, inciting violence, or using offensive language. Therefore, it is likely that the majority of annotators would classify it as not hate speech, resulting in low disagreement.",0.1
7,2059,Study: Google Pushes Liberal News in Top 5 Search Suggestions via @descarteslover http://bit.ly/2NAEfo6,0.0,1.0,0.1,0.9,"The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It simply reports on a study about Google's search suggestions, which is a topic related to media bias but not inherently hate speech. Therefore, it is likely that most annotators would not classify this as hate speech, resulting in low disagreement.","The post discusses a study about Google's search suggestions and implies a bias towards liberal news. It does not contain any elements that would typically be classified as hate speech, such as demeaning language, calls for violence, or offensive language. The topic of media bias is a common subject of discussion and does not inherently involve hate speech. Therefore, it is expected that the majority of annotators would agree that this post is not hate speech, leading to a low level of disagreement among them.",0.1
8,2060,"Abortion: The Left tried to get Legislation passed, they lost. Went to a Liberal Supreme Court and forced it on us.  Gay Marriage: Tried to pass it in States, they lost. Tried to pass it in Congress, they lost.  Went to a Liberal Judge and forced it on us.   Trump: They lost to him now they seek to remove him from office. Are you seeing a pattern here?",0.2,0.8,0.1,0.9,"The post primarily expresses a political opinion and critique of certain legal and political processes. It does not contain language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is likely to be interpreted as a political commentary rather than hate speech, leading to low disagreement among annotators.","The post critiques the processes by which certain social and political changes have been implemented, suggesting a pattern of using judicial means to achieve outcomes not won through legislation or elections. It does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence or use offensive language. As such, it is unlikely to be classified as hate speech by most annotators, resulting in a prediction of low disagreement and a higher percentage of annotators classifying it as not hate speech.",0.1
9,2062,I am a Roman Catholic.  Our church is corrupt.  We need reformation.,0.4,0.6,0.1,0.9,"The post expresses a critical opinion about the Roman Catholic Church, calling it corrupt and suggesting the need for reformation. However, it does not demean or degrade individuals or groups based on protected characteristics, nor does it incite violence or use vulgar language. The post is a critique of an institution rather than an attack on a group of people, which is likely to lead to a consensus among annotators that it is not hate speech.","The post is a personal opinion about the Roman Catholic Church, expressing dissatisfaction and a desire for change. It does not contain elements that typically constitute hate speech, such as demeaning language towards a protected group, calls for violence, or offensive language. Therefore, it is likely that most annotators would not classify this as hate speech, resulting in low disagreement.",0.30000000000000004
