,ID,Text,Hate,Hate_LLM,Reasoning_LLM,Raw_output_LLM,Hate_diff
0,15411,Is that from one flight? ...lol,0,0,"The post 'Is that from one flight? ...lol' does not contain any explicit or implicit content that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a neutral or humorous comment, likely referring to something specific but without context, it does not exhibit characteristics of hate speech.","The post 'Is that from one flight? ...lol' does not contain any explicit or implicit content that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a neutral or humorous comment, likely referring to something specific but without context, it does not exhibit characteristics of hate speech. Therefore, Andy would likely label it as 0, indicating it is not hate speech.",0
1,19289,"The REAL ""Truth"" About Antarctica? ",0,0,"The post 'The REAL ""Truth"" About Antarctica?' does not appear to contain any elements of hate speech. It does not demean or degrade any individuals or groups based on protected characteristics, nor does it incite violence or use vulgar or offensive language. It seems to be a neutral statement, possibly related to a conspiracy theory or a topic of interest about Antarctica, but without any context that suggests hate speech.",The post does not exhibit any characteristics of hate speech as defined by the aspects provided. It is likely to be labeled as non-hate speech by Andy.,0
2,17036,Be sure to follow my Youtube Channel and check out the new and upcoming videos.,0,0,"The post is a simple promotional message encouraging people to follow a YouTube channel and check out new videos. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it does not meet any of the criteria for hate speech.","The post is a straightforward promotional message without any elements of hate speech. It does not demean or degrade any individuals or groups, incite violence, or use offensive language. Andy would likely label this as not hate speech.",0
3,26848,Hope that woman is executed with the rapist disgusting whore 😠,1,1,"The post contains a call for violence, as it expresses a desire for execution, which is a form of physical harm. Additionally, the use of the term 'disgusting whore' is vulgar and offensive, degrading the individual based on gender. These elements align with the aspects of hate speech related to calls for violence and assaults on human dignity.","The post expresses a desire for execution, which is a call for violence, and uses offensive language that degrades an individual based on gender. These elements suggest that Andy would label it as hate speech.",0
4,11260,I want to hear more about you plans to stop the Jews from infiltrating and turning it into another based fags and muh wife’s black son sort of thing. ,1,1,"The post contains language that degrades and demeans Jewish people by suggesting they are infiltrating and causing harm. It also uses offensive language such as 'fags' and makes a derogatory reference to interracial relationships. This aligns with the aspect of 'Assaults on Human Dignity' as it targets individuals based on race, ethnicity, and sexual orientation. Additionally, the language used is vulgar and offensive, which further supports the classification as hate speech.","The post is likely to be labeled as hate speech by Andy due to its demeaning language towards Jewish people and the use of offensive terms targeting sexual orientation and interracial relationships. The post clearly falls into the category of 'Assaults on Human Dignity' and 'Vulgarity and/or Offensive Language,' leading to a low disagreement in labeling it as hate speech.",0
5,4313,"Go back 2 the STUDY & read the entire write-up again, so u can c the point of this STUDY, which u seem 2 b entirely missing. ",1,0,"The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a directive to re-read a study, likely due to a misunderstanding or oversight. There is no indication of hate speech in this post.","The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a directive to re-read a study, likely due to a misunderstanding or oversight. There is no indication of hate speech in this post. Therefore, Andy would likely label it as 0, indicating it is not hate speech.",1
6,8238,"I'm laughing, because our idiotic, child molesting ex VP, Joe Biden, recommended a few years back we all turn in our guns, and use umbrellas and hair spray to ward off attackers! :-)",1,1,"The post contains offensive language directed at a public figure, Joe Biden, by calling him 'idiotic' and a 'child molesting ex VP.' This language is degrading and demeaning, which could be considered an assault on human dignity. However, it does not explicitly call for violence or use vulgarity beyond the offensive language. Given the context and the nature of the language, Andy might label this as hate speech due to the degrading language used against an individual.","The post uses offensive language to demean a public figure, which aligns with the aspect of assaults on human dignity. Although it does not incite violence or use extreme vulgarity, the degrading language is significant enough for Andy to likely consider it hate speech. Therefore, the label is 1.",0
7,16219,im trying to get gab to send my password reset.I need my password so that i can terminate my account but so far they are refusing to send it. Are we hostages here?,0,0,"The post expresses frustration with a social media platform's password reset process. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is a complaint about a technical issue and does not exhibit any characteristics of hate speech.","The post is a complaint about a technical issue with a social media platform and does not contain any elements of hate speech. It does not demean or degrade any individuals or groups, incite violence, or use offensive language. Therefore, Andy would likely label it as not hate speech.",0
8,20486,I don't think she is smart enough to manipulate her base into thinking they need her. She and they are just naturally insane.,1,0,"The post criticizes a person and their followers, suggesting they are 'naturally insane.' While the language is derogatory, it does not specifically target a protected characteristic such as race, gender, or religion. The post does not contain explicit calls for violence or use vulgar or offensive language. Therefore, it is unlikely to be labeled as hate speech by Andy.","The post criticizes a person and their followers, suggesting they are 'naturally insane.' While the language is derogatory, it does not specifically target a protected characteristic such as race, gender, or religion. The post does not contain explicit calls for violence or use vulgar or offensive language. Therefore, it is unlikely to be labeled as hate speech by Andy. Label: 0",1
9,27613,"As Booker considers his 2020 run for President, he might consider having competent attorneys review and translate any complicated emails with dog-whistle titles before he cuts off his nose to spite his face. ",1,0,"The post critiques a political figure, Cory Booker, suggesting he should have competent attorneys review emails with 'dog-whistle' titles. The term 'dog-whistle' can imply hidden or coded language, often with racial or divisive undertones. However, the post does not explicitly demean or degrade any group based on protected characteristics, nor does it incite violence or use vulgar language. It appears to be a political critique rather than hate speech.","The post critiques a political figure, Cory Booker, suggesting he should have competent attorneys review emails with 'dog-whistle' titles. The term 'dog-whistle' can imply hidden or coded language, often with racial or divisive undertones. However, the post does not explicitly demean or degrade any group based on protected characteristics, nor does it incite violence or use vulgar language. It appears to be a political critique rather than hate speech. Therefore, Andy would likely label this post as not hate speech, with a label of 0.",1
