,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
0,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,0.4,0.6,0.4,"The post contains vulgar language ('fuck you') and refers to a 'disgusting picture' that is claimed to 'humiliate the White people of Australia.' This could be interpreted as an assault on human dignity, specifically targeting a racial group. However, the post does not explicitly call for violence, and the offensive language is not directly aimed at individuals or groups. The ambiguity lies in the interpretation of the 'disgusting picture' and whether it constitutes hate speech, leading to potential disagreement among annotators.","The post uses offensive language and makes a claim about a picture that allegedly humiliates a racial group. While it does not explicitly call for violence, the language and context could be seen as demeaning to a specific racial group, leading to a moderate level of disagreement among annotators.",0.0
1,1303,"A White House petition calling on Congress to defend free speech online is set to surpass 100,000 signatures by the end of today, just three days after it was launched. https://www.infowars.com/white-house-petition-to-d...",0.0,1.0,0.1,0.9,"The post is a straightforward report about a White House petition related to free speech online. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is neutral and factual, which suggests that most annotators would not classify it as hate speech. Therefore, there is likely to be low disagreement among annotators, with the majority agreeing that it is not hate speech.","The post is a straightforward report about a White House petition related to free speech online. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is neutral and factual, which suggests that most annotators would not classify it as hate speech. Therefore, there is likely to be low disagreement among annotators, with the majority agreeing that it is not hate speech.",0.1
2,1313,No humans can deliver God’s word. Read the gospels and interpret them in you heart. After the last apostle died man was on his own. Humans to flawed to preach.,0.0,1.0,0.1,0.9,"The post does not contain any assaults on human dignity, calls for violence, or vulgarity and offensive language. It expresses a religious opinion about the interpretation of religious texts and the role of humans in delivering religious messages. This is likely to be seen as a non-hate speech post by most annotators, leading to low disagreement.",The post is a religious opinion piece that does not target any specific group or individual in a demeaning or violent manner. It is unlikely to be classified as hate speech by the majority of annotators.,0.1
3,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,0.6,0.6,0.4,"The post suggests that Islam and communism are incompatible with a free society and calls for their banning in the United States. This can be seen as an assault on human dignity, particularly targeting a religious group (Islam) and a political ideology (communism). However, it does not explicitly call for violence or use vulgar language. The post's content may lead to disagreement among annotators, as some may view it as a political opinion rather than hate speech, while others may see it as demeaning to specific groups.","The post suggests banning Islam and communism, which can be interpreted as an assault on human dignity by demeaning a religious group and a political ideology. However, it lacks explicit calls for violence or vulgar language. The interpretation of this post may vary, leading to moderate disagreement among annotators.",0.19999999999999996
4,1315,John McCain The word Humility does not apply to that family. What a disgrace,0.2,0.8,0.1,0.9,"The post criticizes John McCain and his family by calling them a 'disgrace' and stating that 'humility does not apply to that family.' However, it does not specifically target any protected characteristic such as race, ethnicity, gender, religion, or sexual orientation. There is no call for violence or use of vulgar or offensive language. The criticism appears to be more of a personal opinion rather than hate speech. Therefore, it is likely that most annotators would not classify this as hate speech, leading to low disagreement.","The post criticizes John McCain and his family, but it does not contain elements that typically constitute hate speech. It does not demean or degrade based on protected characteristics, nor does it incite violence or use vulgar language. The criticism is more personal and opinion-based, which is likely to result in a consensus among annotators that it is not hate speech. Therefore, the prediction is that 10% of annotators might classify it as hate speech due to the negative tone, while 90% would not.",0.1
5,1442,"By nearly every metric, we're doing better under Trump than Obama:    Unemployment at near record lows   Black unemployment at record lows   GDP higher than its been in years   Taxes lower for most people   Stock exchanges at record highs    So why do the left hate him so much?   🤔🤔🤔",0.2,0.8,0.1,0.9,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It presents a political opinion comparing the performance of two U.S. presidents and questions the opposition's dislike for one of them. The language used is not demeaning or degrading, nor does it incite violence or use offensive language. Therefore, it is likely to be classified as not hate speech by most annotators, leading to low disagreement.","The post is a political opinion piece that compares the performance of two U.S. presidents, Trump and Obama, using various metrics such as unemployment rates, GDP, taxes, and stock exchanges. It questions why the political left dislikes Trump despite these metrics. The post does not contain any elements that would typically be classified as hate speech, such as assaults on human dignity, calls for violence, or vulgarity and offensive language. As a result, it is likely to be classified as not hate speech by the majority of annotators, resulting in low disagreement.",0.1
6,1678,"free speech Twitter alternative Gab. Although Gab has experienced a surge of users following the big tech blacklisting of Alex Jones, as well as a wave of users from Kenya and Brazil following social media crackdowns related to those countries",0.2,0.8,0.1,0.9,"The post discusses the platform Gab and its increase in users following certain events. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is more informational and does not exhibit characteristics of hate speech, leading to a likely consensus among annotators that it is not hate speech.","The post is informational and does not contain elements of hate speech. It discusses the growth of a social media platform without demeaning individuals or groups, inciting violence, or using offensive language. Therefore, it is likely that most annotators would agree that this post is not hate speech, resulting in low disagreement.",0.1
7,2059,Study: Google Pushes Liberal News in Top 5 Search Suggestions via @descarteslover http://bit.ly/2NAEfo6,0.0,1.0,0.1,0.9,"The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a statement about a study related to search engine results, which is unlikely to be considered hate speech by most annotators. Therefore, there is likely to be a high consensus among annotators that this post is not hate speech.",The post is a statement about a study regarding search engine results and does not contain elements of hate speech. It is unlikely to be interpreted as hate speech by most annotators.,0.1
8,2060,"Abortion: The Left tried to get Legislation passed, they lost. Went to a Liberal Supreme Court and forced it on us.  Gay Marriage: Tried to pass it in States, they lost. Tried to pass it in Congress, they lost.  Went to a Liberal Judge and forced it on us.   Trump: They lost to him now they seek to remove him from office. Are you seeing a pattern here?",0.2,0.8,0.1,0.9,"The post does not contain explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It expresses a political opinion about legislative and judicial processes in the U.S. regarding abortion, gay marriage, and political figures. The language used is not inherently demeaning or degrading to any group, nor does it incite violence. The post is likely to be interpreted as a political commentary rather than hate speech, leading to low disagreement among annotators.","The post discusses political and judicial outcomes related to abortion, gay marriage, and Donald Trump. It frames these issues as being imposed by 'Liberal' entities after legislative failures. The language is critical of these processes but does not use demeaning language or incite violence. It is more likely to be seen as a political opinion rather than hate speech, resulting in low disagreement among annotators.",0.1
9,2061,"Socialists have been claiming for a century or more that Capitalism doesn't have the facts on its side.  Losing that argument, they now claim that facts don't matter.  Rinse and repeat.",0.6,0.4,0.1,0.9,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It is a critique of a political ideology (socialism) and its perceived arguments against capitalism. The language used is not demeaning or degrading to individuals or groups based on protected characteristics, nor does it incite violence. The post is likely to be interpreted as a political opinion rather than hate speech, leading to low disagreement among annotators.","The post critiques socialism and its arguments against capitalism, suggesting a cycle of argumentation. It does not target individuals or groups based on protected characteristics, nor does it incite violence or use offensive language. The post is more of a political opinion and is unlikely to be classified as hate speech by most annotators, resulting in low disagreement.",0.5
