,ID,Text,Hate_pos,Opinions_LLM,Labels_LLM,Raw_output_LLM,Hate_pos_LLM,Hate_diff
0,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,"[""The post uses vulgar language ('fuck'), which may be considered offensive but not necessarily hate speech."", ""The post accuses Spotify of sharing a 'disgusting picture,' which could be interpreted as an expression of personal offense rather than hate speech."", ""The phrase 'humiliate the White people of Australia' could be seen as an assault on human dignity, suggesting that the post is defending a racial group."", 'The post does not explicitly call for violence against any individual or group.', ""The post's reference to 'White people of Australia' could be interpreted as a racial focus, but it does not necessarily demean or degrade them."", 'The post may be seen as expressing a personal grievance against Spotify rather than targeting a racial group with hate speech.', ""The use of the term 'disgusting' is subjective and may not constitute hate speech without further context."", ""The post could be interpreted as criticizing Spotify's actions rather than promoting hate against a racial group."", 'The post does not contain slurs or explicit hate speech language directed at a racial group.', ""The post's intent may be seen as defending a racial group rather than attacking another, which complicates its classification as hate speech.""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post contains vulgar language and references to race, but it does not explicitly demean, degrade, or incite violence against a racial group. The opinions reflect a consensus that the post is more about personal offense and criticism of Spotify rather than hate speech.",0.0,0.6
1,1303,"A White House petition calling on Congress to defend free speech online is set to surpass 100,000 signatures by the end of today, just three days after it was launched. https://www.infowars.com/white-house-petition-to-d...",0.0,"['The post is simply reporting on a petition and does not contain any hate speech elements.', 'The post does not demean or degrade any individuals or groups based on protected characteristics.', 'There is no call for violence or encouragement of physical harm in the post.', 'The language used in the post is neutral and does not contain vulgarity or offensive language.', 'The post is focused on a political issue (free speech) and does not target any specific group.', 'The post could be seen as promoting a controversial source (InfoWars), but this alone does not constitute hate speech.', 'The post does not exhibit any elements of hate speech as it is informational in nature.', ""The post's mention of free speech could be interpreted as supporting hate speech, but this is speculative."", 'The post does not make any explicit or implicit threats against individuals or groups.', 'The post is unlikely to be interpreted as hate speech by most annotators due to its neutral tone.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1. The post is simply reporting on a petition and does not contain any hate speech elements. (Label: 0)
2. The post does not demean or degrade any individuals or groups based on protected characteristics. (Label: 0)
3. There is no call for violence or encouragement of physical harm in the post. (Label: 0)
4. The language used in the post is neutral and does not contain vulgarity or offensive language. (Label: 0)
5. The post is focused on a political issue (free speech) and does not target any specific group. (Label: 0)
6. The post could be seen as promoting a controversial source (InfoWars), but this alone does not constitute hate speech. (Label: 0)
7. The post does not exhibit any elements of hate speech as it is informational in nature. (Label: 0)
8. The post's mention of free speech could be interpreted as supporting hate speech, but this is speculative. (Label: 0)
9. The post does not make any explicit or implicit threats against individuals or groups. (Label: 0)
10. The post is unlikely to be interpreted as hate speech by most annotators due to its neutral tone. (Label: 0)",0.0,0.0
2,1313,No humans can deliver God’s word. Read the gospels and interpret them in you heart. After the last apostle died man was on his own. Humans to flawed to preach.,0.0,"['The post suggests that humans are flawed, but it does not target any specific group, so it is not hate speech.', 'The post is a religious opinion about the interpretation of the gospels and does not demean any group, so it is not hate speech.', 'The post does not contain any calls for violence or harm against any group, so it is not hate speech.', 'The post lacks vulgarity or offensive language, so it is not hate speech.', 'The post could be seen as dismissive of religious leaders, but it does not constitute hate speech as it does not attack a protected characteristic.', 'The post is a personal belief about religious teachings and does not incite hatred or violence, so it is not hate speech.', 'The post does not degrade any individual or group based on race, ethnicity, gender, or other protected characteristics, so it is not hate speech.', 'The post is a critique of human ability to preach, but it does not use slurs or offensive language, so it is not hate speech.', 'The post is focused on religious interpretation and does not exhibit any elements of hate speech.', 'The post may be interpreted as critical of religious institutions, but it does not meet the criteria for hate speech.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a religious opinion that does not target any specific group or use offensive language. It does not call for violence or degrade individuals based on protected characteristics. Therefore, it is not considered hate speech.",0.0,0.0
3,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,"['The post suggests banning Islam and communism, which could be seen as an assault on human dignity by targeting a religion and a political ideology.', 'The post does not explicitly call for violence, but the suggestion to ban Islam and communism could be interpreted as a form of ideological violence.', 'The language used in the post is not vulgar or offensive, but the ideas expressed could be considered offensive to Muslims and communists.', 'The post could be seen as promoting discrimination against Muslims by suggesting that Islam is incompatible with a free society.', 'The post could be interpreted as a critique of political ideologies rather than hate speech, focusing on perceived incompatibility with freedom.', 'The post may be seen as expressing a personal opinion on political and religious ideologies without intending harm.', 'The post could be interpreted as a call for policy change rather than hate speech, focusing on national survival.', 'The post might be seen as fear-mongering, suggesting that Islam and communism are threats to the United States.', 'The post could be viewed as an expression of concern for national security, rather than an attack on specific groups.', 'The post might be interpreted as an expression of free speech, albeit one that could be offensive to some.']","[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]","1. The post suggests banning Islam and communism, which could be seen as an assault on human dignity by targeting a religion and a political ideology. (Label: 1)
2. The post does not explicitly call for violence, but the suggestion to ban Islam and communism could be interpreted as a form of ideological violence. (Label: 1)
3. The language used in the post is not vulgar or offensive, but the ideas expressed could be considered offensive to Muslims and communists. (Label: 0)
4. The post could be seen as promoting discrimination against Muslims by suggesting that Islam is incompatible with a free society. (Label: 1)
5. The post could be interpreted as a critique of political ideologies rather than hate speech, focusing on perceived incompatibility with freedom. (Label: 0)
6. The post may be seen as expressing a personal opinion on political and religious ideologies without intending harm. (Label: 0)
7. The post could be interpreted as a call for policy change rather than hate speech, focusing on national survival. (Label: 0)
8. The post might be seen as fear-mongering, suggesting that Islam and communism are threats to the United States. (Label: 1)
9. The post could be viewed as an expression of concern for national security, rather than an attack on specific groups. (Label: 0)
10. The post might be interpreted as an expression of free speech, albeit one that could be offensive to some. (Label: 0)",0.4,0.0
4,1315,John McCain The word Humility does not apply to that family. What a disgrace,0.2,"['The post criticizes a specific family but does not target them based on protected characteristics, so it is not hate speech.', ""The post uses the word 'disgrace,' which is offensive but not necessarily hate speech as it lacks targeting of protected groups."", 'The post does not call for violence or physical harm against any individual or group, so it is not hate speech.', 'The post could be seen as an assault on human dignity if the family is targeted based on a protected characteristic, but this is not clear from the text.', ""The post is a personal opinion about a public figure's family and does not contain hate speech elements."", 'The language used in the post is critical but not vulgar or profane, indicating it is not hate speech.', 'The post lacks any explicit or implicit encouragement of violence, so it is not hate speech.', 'The post may be interpreted as disrespectful but does not meet the criteria for hate speech.', 'The post does not use slurs or derogatory language that would classify it as hate speech.', 'The post is a subjective opinion and does not degrade individuals based on race, ethnicity, gender, or other protected characteristics.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post in question criticizes a public figure's family, specifically John McCain's, by stating that the word 'humility' does not apply to them and calling them a 'disgrace.' While the language is critical and could be considered offensive to some, it does not meet the criteria for hate speech based on the aspects provided. The post does not target the family based on race, ethnicity, gender, religion, sexual orientation, or other protected characteristics. It does not incite violence or use vulgar or profane language. Therefore, the opinions generated reflect a consensus that the post is not hate speech, resulting in a low disagreement among annotators.",0.0,0.2
5,1442,"By nearly every metric, we're doing better under Trump than Obama:    Unemployment at near record lows   Black unemployment at record lows   GDP higher than its been in years   Taxes lower for most people   Stock exchanges at record highs    So why do the left hate him so much?   🤔🤔🤔",0.2,"['The post is a political opinion piece and does not contain hate speech.', 'The post does not demean or degrade any individual or group based on protected characteristics.', 'The post does not incite or encourage violence against any individual or group.', 'The post does not contain vulgarity, slurs, or offensive language.', 'The post is a factual statement about economic metrics and does not constitute hate speech.', 'The post questions political opposition but does not do so in a hateful manner.', 'The post could be seen as divisive but not as hate speech.', 'The post is a comparison of political administrations and does not target any group with hate.', 'The post uses a rhetorical question to express political views, not hate speech.', 'The post is a critique of political opposition without using hate speech.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a political opinion piece that discusses economic metrics under different administrations. It does not contain language that assaults human dignity, calls for violence, or uses vulgarity or offensive language. Therefore, it is not considered hate speech. The opinions reflect that the post is more about political discourse rather than hate speech, leading to a consensus of non-hate speech labeling.",0.0,0.2
6,1678,"free speech Twitter alternative Gab. Although Gab has experienced a surge of users following the big tech blacklisting of Alex Jones, as well as a wave of users from Kenya and Brazil following social media crackdowns related to those countries",0.2,"['The post is simply reporting on the growth of a social media platform and does not contain hate speech.', 'The mention of Alex Jones, who is a controversial figure, might imply support for his views, which could be seen as hate speech.', 'The post does not directly assault any group or individual, so it is not hate speech.', ""The reference to 'big tech blacklisting' could be interpreted as a critique of censorship, not hate speech."", 'The post does not call for violence or use offensive language, so it is not hate speech.', 'The mention of users from Kenya and Brazil is factual and not derogatory, so it is not hate speech.', 'The post could be seen as promoting a platform known for hosting hate speech, which might imply endorsement of such content.', 'The post is neutral in tone and does not express any hateful sentiments.', 'The post could be interpreted as supporting free speech, which is not inherently hate speech.', 'The post does not demean or degrade any individuals or groups, so it is not hate speech.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","1. The post is simply reporting on the growth of a social media platform and does not contain hate speech. (Label: 0)
2. The mention of Alex Jones, who is a controversial figure, might imply support for his views, which could be seen as hate speech. (Label: 1)
3. The post does not directly assault any group or individual, so it is not hate speech. (Label: 0)
4. The reference to 'big tech blacklisting' could be interpreted as a critique of censorship, not hate speech. (Label: 0)
5. The post does not call for violence or use offensive language, so it is not hate speech. (Label: 0)
6. The mention of users from Kenya and Brazil is factual and not derogatory, so it is not hate speech. (Label: 0)
7. The post could be seen as promoting a platform known for hosting hate speech, which might imply endorsement of such content. (Label: 1)
8. The post is neutral in tone and does not express any hateful sentiments. (Label: 0)
9. The post could be interpreted as supporting free speech, which is not inherently hate speech. (Label: 0)
10. The post does not demean or degrade any individuals or groups, so it is not hate speech. (Label: 0)",0.2,0.0
7,2059,Study: Google Pushes Liberal News in Top 5 Search Suggestions via @descarteslover http://bit.ly/2NAEfo6,0.0,"['The post is simply sharing a study and does not contain any hate speech elements.', 'The post could be seen as biased against liberal media but does not constitute hate speech.', 'The post does not demean or degrade any individuals or groups based on protected characteristics.', 'There is no call for violence or incitement of harm in the post.', 'The language used in the post is neutral and does not contain vulgarity or offensive language.', 'The post might be interpreted as critical of Google but does not attack any specific group.', 'The post could be seen as promoting a narrative against liberal media but lacks hate speech elements.', 'The post is informative and does not exhibit any characteristics of hate speech.', 'The post does not target any specific race, ethnicity, gender, religion, or sexual orientation.', 'The post is unlikely to be interpreted as hate speech by most annotators.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post in question is a straightforward sharing of a study link with a brief comment. It does not contain any language or content that would typically be classified as hate speech. The opinions reflect a consensus that the post is neutral and lacks elements of hate speech, such as assaults on human dignity, calls for violence, or vulgarity. Therefore, all opinions lead to a label of 0, indicating non-hate speech.",0.0,0.0
8,2060,"Abortion: The Left tried to get Legislation passed, they lost. Went to a Liberal Supreme Court and forced it on us.  Gay Marriage: Tried to pass it in States, they lost. Tried to pass it in Congress, they lost.  Went to a Liberal Judge and forced it on us.   Trump: They lost to him now they seek to remove him from office. Are you seeing a pattern here?",0.2,"['The post expresses a political opinion without demeaning any group, so it is not hate speech.', 'The post criticizes political processes and decisions but does not incite violence, so it is not hate speech.', ""The post uses the term 'forced on us,' which could be seen as demeaning to those who support the mentioned issues, but it does not target a protected characteristic, so it is not hate speech."", 'The post does not contain vulgarity or offensive language, so it is not hate speech.', 'The post reflects a disagreement with political outcomes rather than an attack on human dignity, so it is not hate speech.', 'The post could be interpreted as expressing frustration with liberal policies, but it does not call for violence, so it is not hate speech.', 'The post does not use slurs or derogatory language, so it is not hate speech.', 'The post could be seen as polarizing but does not meet the criteria for hate speech as it lacks demeaning language towards a protected group.', 'The post is a critique of political and judicial processes, not an assault on human dignity, so it is not hate speech.', 'The post may be seen as divisive but does not contain elements of hate speech as defined by the aspects considered.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post does not meet the criteria for hate speech based on the aspects considered. It primarily expresses political opinions and critiques without demeaning language, calls for violence, or vulgarity directed at protected groups. Therefore, the opinions suggest that the post is not hate speech, resulting in a consensus of non-hate speech labels.",0.0,0.2
9,2061,"Socialists have been claiming for a century or more that Capitalism doesn't have the facts on its side.  Losing that argument, they now claim that facts don't matter.  Rinse and repeat.",0.6,"['The post is a critique of socialists and does not target any protected group, so it is not hate speech.', 'The post uses a dismissive tone towards socialists, but it does not degrade their human dignity, so it is not hate speech.', 'The post does not contain any calls for violence against socialists or any other group, so it is not hate speech.', 'The post does not use vulgar or offensive language, so it is not hate speech.', 'The post is a political opinion and falls under free speech, not hate speech.', 'The post could be seen as perpetuating stereotypes about socialists, but it does not reach the level of hate speech.', 'The post is a generalization about socialists but lacks any demeaning or degrading language, so it is not hate speech.', 'The post is a critique of an ideology rather than an attack on individuals, so it is not hate speech.', 'The post does not incite hatred or violence, so it is not hate speech.', 'The post is a rhetorical argument and does not exhibit characteristics of hate speech.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a critique of socialists and does not target any protected group, so it is not hate speech. The post uses a dismissive tone towards socialists, but it does not degrade their human dignity, so it is not hate speech. The post does not contain any calls for violence against socialists or any other group, so it is not hate speech. The post does not use vulgar or offensive language, so it is not hate speech. The post is a political opinion and falls under free speech, not hate speech. The post could be seen as perpetuating stereotypes about socialists, but it does not reach the level of hate speech. The post is a generalization about socialists but lacks any demeaning or degrading language, so it is not hate speech. The post is a critique of an ideology rather than an attack on individuals, so it is not hate speech. The post does not incite hatred or violence, so it is not hate speech. The post is a rhetorical argument and does not exhibit characteristics of hate speech.",0.0,0.6
