,ID,Text,Hate_pos,Seq30,Seq30_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_LLM,Hate_pos_diff
0,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","The post contains offensive language ('fuck you') and suggests that a picture is designed to humiliate a racial group ('White people of Australia'). This can be seen as an assault on human dignity, as it implies a racial grievance and uses vulgar language. The post is likely to be interpreted as hate speech by most annotators due to its explicit language and racial context, leading to low disagreement among annotators.","The post uses explicit language and suggests racial humiliation, which aligns with aspects of hate speech such as vulgarity and assaults on human dignity. Given the clear offensive nature and racial context, it is likely that most annotators would classify this as hate speech, resulting in low disagreement.",1.0,0.4
1,1303,"A White House petition calling on Congress to defend free speech online is set to surpass 100,000 signatures by the end of today, just three days after it was launched. https://www.infowars.com/white-house-petition-to-d...",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a straightforward report about a White House petition related to defending free speech online. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is neutral and factual, focusing on the number of signatures a petition has received. Therefore, it is unlikely to be considered hate speech by annotators, leading to low disagreement.","The post is a neutral statement about a petition related to free speech, without any elements of hate speech. It is unlikely to cause disagreement among annotators.",0.0,0.0
2,1313,No humans can deliver God’s word. Read the gospels and interpret them in you heart. After the last apostle died man was on his own. Humans to flawed to preach.,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It is a religious opinion about the interpretation of the gospels and the role of humans in delivering God's word. The content is not likely to be interpreted as hate speech, and there is likely to be consensus among annotators that it is not hate speech.","The post is a religious statement expressing a belief about the interpretation of religious texts and the role of humans in delivering religious messages. It does not target any specific group or individual, nor does it use offensive language or incite violence. Therefore, it is unlikely to be considered hate speech by annotators, leading to a low disagreement in labeling.",0.0,0.0
3,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","The post explicitly targets Islam and communism, suggesting they are incompatible with a free society and should be banned for the United States to survive. This can be seen as an assault on human dignity, as it demeans and degrades a religious group and a political ideology. The language used is exclusionary and suggests a call for action against these groups, which could be interpreted as a call for violence or discrimination. The post is clear in its intent and message, likely leading to low disagreement among annotators, as it fits into the aspects of hate speech concerning assaults on human dignity and potential calls for violence.","The post explicitly targets Islam and communism, suggesting they are incompatible with a free society and should be banned for the United States to survive. This can be seen as an assault on human dignity, as it demeans and degrades a religious group and a political ideology. The language used is exclusionary and suggests a call for action against these groups, which could be interpreted as a call for violence or discrimination. The post is clear in its intent and message, likely leading to low disagreement among annotators, as it fits into the aspects of hate speech concerning assaults on human dignity and potential calls for violence. Therefore, the predicted sequence of labels is likely to be predominantly 1s, indicating that most annotators would classify this as hate speech.",1.0,0.6
4,1315,John McCain The word Humility does not apply to that family. What a disgrace,0.2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post criticizes John McCain and his family by stating that the word 'humility' does not apply to them and calling them a 'disgrace.' While the language is negative and critical, it does not specifically target any protected characteristic such as race, ethnicity, gender, religion, or sexual orientation. There are no calls for violence or use of vulgar or offensive language. The post is a personal opinion about a public figure and his family, which is common in political discourse. Therefore, it is unlikely to be classified as hate speech by most annotators, leading to low disagreement.","The post criticizes John McCain and his family, calling them a 'disgrace' and stating that 'humility' does not apply to them. This is a negative opinion about a public figure and his family, but it does not target any protected characteristic or incite violence. The language used is not vulgar or offensive in a way that would typically be classified as hate speech. Therefore, it is likely that most annotators would not classify this as hate speech, resulting in low disagreement.",0.0,0.2
5,1442,"By nearly every metric, we're doing better under Trump than Obama:    Unemployment at near record lows   Black unemployment at record lows   GDP higher than its been in years   Taxes lower for most people   Stock exchanges at record highs    So why do the left hate him so much?   🤔🤔🤔",0.2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post presents a series of economic metrics to argue that the country is doing better under Trump than Obama, and questions why the left dislikes Trump. It does not contain any assaults on human dignity, calls for violence, or vulgarity/offensive language. The content is a political opinion and does not fall into any hate speech categories. Therefore, it is likely to have low disagreement among annotators, with most agreeing it is not hate speech.","The post is a political opinion piece that compares economic metrics under Trump and Obama, questioning why the left dislikes Trump. It does not contain any elements of hate speech such as assaults on human dignity, calls for violence, or vulgarity/offensive language. As such, it is likely to be classified as not hate speech by most annotators, resulting in low disagreement.",0.0,0.2
6,1678,"free speech Twitter alternative Gab. Although Gab has experienced a surge of users following the big tech blacklisting of Alex Jones, as well as a wave of users from Kenya and Brazil following social media crackdowns related to those countries",0.2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post discusses the increase in users on the social media platform Gab, following events related to Alex Jones and social media crackdowns in Kenya and Brazil. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is factual and neutral, focusing on user trends without any derogatory or inflammatory remarks. Therefore, it is unlikely to be considered hate speech by annotators, leading to low disagreement.","The post is a factual statement about the increase in users on Gab, a social media platform, following certain events. It does not contain any elements of hate speech as it does not demean or degrade any group, incite violence, or use offensive language. The content is straightforward and lacks ambiguity, suggesting that annotators would likely agree that it is not hate speech. Therefore, the predicted labels are mostly 0s, indicating that the post is not considered hate speech by the annotators.",0.0,0.2
7,2059,Study: Google Pushes Liberal News in Top 5 Search Suggestions via @descarteslover http://bit.ly/2NAEfo6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post discusses a study about Google's search suggestions and implies a bias towards liberal news. It does not contain any assaults on human dignity, calls for violence, or vulgarity/offensive language. The content is straightforward and does not exhibit characteristics of hate speech. Therefore, it is likely to have low disagreement among annotators, as it does not fall into any hate speech categories.","The post is a straightforward statement about a study regarding Google's search suggestions and their alleged bias towards liberal news. It does not contain any language that assaults human dignity, incites violence, or uses vulgar or offensive language. The content is clear and does not exhibit characteristics of hate speech, making it likely that annotators would agree on it not being hate speech. Therefore, the disagreement level is low, and the labels are predominantly 0, indicating it is not considered hate speech by most annotators.",0.0,0.0
8,2060,"Abortion: The Left tried to get Legislation passed, they lost. Went to a Liberal Supreme Court and forced it on us.  Gay Marriage: Tried to pass it in States, they lost. Tried to pass it in Congress, they lost.  Went to a Liberal Judge and forced it on us.   Trump: They lost to him now they seek to remove him from office. Are you seeing a pattern here?",0.2,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post discusses political and social issues such as abortion, gay marriage, and Trump, framing them as losses for the left that were imposed through judicial means. It does not contain explicit assaults on human dignity, calls for violence, or vulgar language. However, it may be perceived as having a biased or negative tone towards liberal policies and judicial decisions, which could lead to some disagreement among annotators. The post is likely to have low disagreement as it does not clearly fall into hate speech categories, but some annotators might interpret the tone as implicitly derogatory towards certain groups.","The post discusses political and social issues such as abortion, gay marriage, and Trump, framing them as losses for the left that were imposed through judicial means. It does not contain explicit assaults on human dignity, calls for violence, or vulgar language. However, it may be perceived as having a biased or negative tone towards liberal policies and judicial decisions, which could lead to some disagreement among annotators. The post is likely to have low disagreement as it does not clearly fall into hate speech categories, but some annotators might interpret the tone as implicitly derogatory towards certain groups.",0.1,0.1
9,2062,I am a Roman Catholic.  Our church is corrupt.  We need reformation.,0.4,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post expresses a critical opinion about the Roman Catholic Church, calling it corrupt and in need of reformation. However, it does not contain any assaults on human dignity, calls for violence, or vulgarity/offensive language. The statement is a personal opinion about an institution and does not target any specific group or individual in a manner that would be considered hate speech. Therefore, it is likely to be classified as not hate speech by most annotators, leading to low disagreement.","The post is a personal opinion about the Roman Catholic Church, expressing a desire for reformation due to perceived corruption. It does not contain any elements that would typically be classified as hate speech, such as demeaning language towards a protected group, incitement to violence, or vulgar language. As such, it is unlikely to be considered hate speech by most annotators, resulting in low disagreement.",0.0,0.4
