,Text,Hate_MV,Hate_0,Hate_11,Hate_13,Reasoning_LLM,Hate_list_LLM,Raw_output_LLM,Hate_MV_LLM,Hate_MV_diff
0,You're a funny guy. There's been no political will to use anti-trust laws for half a century or more.,0,0,0,0,"The post does not appear to contain any elements of hate speech. It discusses the lack of political will to use anti-trust laws, which is a political opinion or observation. There is no use of offensive language, no demeaning or degrading comments towards any group, and no incitement to violence. Therefore, it is likely that all annotators would agree that this post does not constitute hate speech.","[0, 0, 0]","The post is a commentary on political will and anti-trust laws, lacking any hate speech elements.",0,0
1,"Oh nice, I'll make sure to check it out. Good job on taking the initiative to spread the message and reach our a hand to our men and women!",0,0,0,0,"The post is positive and supportive, encouraging the spreading of a message and reaching out to men and women. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be considered hate speech by any annotator.","[0, 0, 0]","The post is positive and supportive, encouraging the spreading of a message and reaching out to men and women. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be considered hate speech by any annotator. The likely labels by the annotators would be [0, 0, 0].",0,0
2,Jus lock up and leave the keys on the desk,0,0,0,0,"The post 'Jus lock up and leave the keys on the desk' does not appear to contain any elements of hate speech. It does not demean or degrade any individuals or groups, nor does it incite violence or use vulgar or offensive language. The post seems to be a simple instruction or statement without any context that could be interpreted as hate speech. Therefore, it is likely that all annotators would agree that this post does not constitute hate speech.","[0, 0, 0]",The post is straightforward and lacks any content that could be interpreted as hate speech. It is likely to be unanimously labeled as not hate speech by all annotators.,0,0
3,Poverty has a Black face in it...the idea of White poverty just doesn't fit into anyone's mind....in fact...talking about relieving White poverty or improving White conditions is mocked and ridiculed....Whites are disrespected when poor...,1,1,1,0,"The post discusses racial issues related to poverty, suggesting that white poverty is not taken seriously and that whites are disrespected when poor. This could be seen as an assault on human dignity by implying racial bias in the perception of poverty. However, it does not explicitly call for violence or use vulgar language. Annotators might disagree on whether it constitutes hate speech due to its focus on racial dynamics and potential to be interpreted as racially divisive.","[1, 0, 1]","The post could be interpreted as highlighting racial disparities in the perception of poverty, which might be seen as an assault on human dignity by some annotators. However, it does not contain explicit calls for violence or vulgar language. Annotators might have differing views on whether it constitutes hate speech, leading to a mix of labels.",1,0
4,all pedos all child traffickers should be shot and killed and that means hollywood and the msm and  the so called elite democrats! kill them all,1,1,1,1,"The post explicitly calls for violence against specific groups, namely 'pedos,' 'child traffickers,' 'Hollywood,' 'the MSM,' and 'elite democrats.' This is a clear incitement to violence, which is a key aspect of hate speech. Additionally, the post uses offensive language by labeling these groups in a derogatory manner. Given the explicit nature of the call for violence and the offensive language, annotators are likely to agree that this post constitutes hate speech. Therefore, the disagreement level is low.","[1, 1, 1]","The post is a clear example of hate speech due to its explicit call for violence against specific groups and the use of offensive language. All three annotators are likely to label it as hate speech, resulting in a consensus with low disagreement.",1,0
5,"Holding hands is punishable by death, but pedophilia is alright..... nice morals there #Muhammad. #Islam",1,1,1,0,"The post makes a derogatory statement about Islam and the Prophet Muhammad, suggesting that the religion has skewed morals. This can be seen as an assault on human dignity, as it targets a religious group with a negative stereotype. The use of sarcasm and the hashtag #Muhammad could be interpreted as offensive language, though it does not contain explicit vulgarity or slurs. The post does not explicitly call for violence, but it does demean a religious group, which may lead to disagreement among annotators about whether it constitutes hate speech.","[1, 0, 1]","The post is likely to be interpreted differently by annotators. One annotator might see it as an assault on human dignity due to its derogatory nature towards Islam and label it as hate speech. Another annotator might focus on the lack of explicit vulgarity or calls for violence and not label it as hate speech. A third annotator might also see the post as demeaning and label it as hate speech. Therefore, the labels could be [1, 0, 1].",1,0
6,@jolokia @ThePraedor‍  ,1,1,1,0,"The post contains only mentions of two users, '@jolokia' and '@ThePraedor', without any additional context or content. There is no explicit or implicit language that suggests assaults on human dignity, calls for violence, or vulgarity and/or offensive language. Given the lack of context and content, it is unlikely that any annotator would label this as hate speech. The post is straightforward and does not exhibit any characteristics of hate speech, leading to a consensus among annotators.","[0, 0, 0]",The post is simply a mention of two users and does not contain any content that could be interpreted as hate speech. All annotators would likely agree that this post does not constitute hate speech.,0,1
7,12 Oct 2018 - This Lady is Koo-Koo... Loco in la cabeza - Senate Democratic Candidate: “I Don’t Care” if People Go Fight for the Taliban Against US (AUDIO) - https://www.thegatewaypundit.com/2018/10/senate-democratic-candidate-i-dont-care-if-people-go-fight-for-the-taliban-against-us-video/,0,1,0,0,"The post refers to a Senate Democratic Candidate as 'Koo-Koo' and 'Loco in la cabeza,' which are derogatory terms implying mental instability. This could be seen as an assault on human dignity, as it demeans the individual based on perceived mental health. However, it does not target a protected characteristic such as race, gender, or religion. The post also does not contain any explicit calls for violence or vulgar language. The context of the post is political, and the language used is more of a personal attack rather than hate speech. Annotators might have differing opinions on whether this constitutes hate speech due to the derogatory language, but it is likely to be seen as low disagreement since it lacks the severity typically associated with hate speech.","[0, 0, 0]","The post uses derogatory language to describe a political candidate, but it does not target a protected characteristic or incite violence. The language is offensive but not vulgar or profane. Annotators are likely to agree that this does not constitute hate speech, resulting in low disagreement.",0,0
8,Anyone Who Isn't Islamic Is Racist? | Religion Of Intolerance. ,1,1,1,0,"The post suggests that Islam is a 'Religion Of Intolerance' and questions whether anyone who isn't Islamic is racist. This could be interpreted as an assault on human dignity by demeaning a religious group, suggesting that Islam is inherently intolerant. The language used is not overtly vulgar or offensive, but the implication that Islam is intolerant could be seen as degrading to Muslims. Annotators might disagree on whether this constitutes hate speech, as it depends on the interpretation of the intent and the perceived impact of the statement.","[1, 0, 1]","The post implies that Islam is a religion of intolerance, which could be seen as demeaning to Muslims. It questions whether non-Muslims are racist, which could be interpreted as an assault on human dignity. The language is not explicitly vulgar, but the content could be seen as offensive to some. Annotators might have differing views on whether this constitutes hate speech, leading to some disagreement.",1,0
9,"LOL I love it that  they straight out  deny the not so holy kike book ,and without  IT their fake ass religion goes straight  down the drain LOL",1,1,1,0,"The post contains offensive language and slurs, specifically the use of the term 'kike,' which is a derogatory term for Jewish people. This constitutes an assault on human dignity as it demeans individuals based on their religion and ethnicity. Additionally, the post mocks and degrades a religious text and the associated religion, further contributing to the assault on human dignity. The use of 'LOL' and the mocking tone may also be seen as vulgar and offensive. Given these elements, it is likely that all annotators would agree that this post constitutes hate speech, although there might be some slight variation in interpretation due to the tone and context.","[1, 1, 1]","The post is likely to be labeled as hate speech by all three annotators due to its use of a racial slur ('kike') and its demeaning tone towards a religious group. The post clearly assaults human dignity by using offensive language and mocking a religious text, which is likely to lead to a consensus among annotators that it constitutes hate speech.",1,0
