,Unnamed: 0,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
14,14,125,National Socialist Korea...............Blood and Soil. ,0.0,1.0,0.7,0.3,"The post references 'National Socialist Korea' and 'Blood and Soil,' which are terms associated with Nazi ideology. 'Blood and Soil' is a Nazi slogan that emphasizes ethnic purity and nationalism. The use of these terms suggests an endorsement of ideologies that are widely considered hate speech due to their historical context of racial superiority and discrimination. This post likely falls under the category of 'Assaults on Human Dignity' as it implicitly supports ideologies that demean or degrade individuals based on race or ethnicity. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. Therefore, there is a moderate level of disagreement, but a majority would likely classify it as hate speech.","The post 'National Socialist Korea...............Blood and Soil.' uses terms that are heavily associated with Nazi ideology. 'Blood and Soil' is a slogan that was used by the Nazis to promote ideas of ethnic purity and nationalism. The reference to 'National Socialist' also aligns with Nazi beliefs. These terms are likely to be interpreted as promoting hate speech, particularly in the context of 'Assaults on Human Dignity,' as they suggest support for ideologies that demean or degrade individuals based on race or ethnicity. However, the post does not explicitly call for violence or use vulgar language, which might lead to some annotators not classifying it as hate speech. Therefore, there is a moderate level of disagreement, but a majority would likely classify it as hate speech.",0.7
18,18,226,#JimCarrey is an #Illuminati fraud.. supposedly going 'zen'.. this dipshit is more vocal on politics than ALL #Church Establishment whorehouses combined. ,0.0,1.0,0.6,0.4,"The post uses derogatory language such as 'dipshit' and 'whorehouses,' which could be considered vulgar and offensive. It also targets Jim Carrey, suggesting he is a fraud and part of the Illuminati, which could be seen as an assault on his dignity. However, it does not explicitly call for violence. The language and accusations may lead to some disagreement among annotators, but the offensive language and personal attack suggest a moderate likelihood of being classified as hate speech.","The post contains offensive language and personal attacks, which may lead to a moderate level of disagreement among annotators. The use of terms like 'dipshit' and 'whorehouses' contributes to the vulgarity aspect, while the accusation of being an 'Illuminati fraud' could be seen as an assault on dignity. However, there is no explicit call for violence. Therefore, the prediction is that 60% of annotators might classify it as hate speech, while 40% might not.",0.6
55,55,935,"MAJOR article is coming at DARK TRIAD MAN®. 'What do we do now that civil war is coming?' There is an answer, and we are going to share it. @Cernovich  The Democrats cannot stop their spiral. #CapitalGazette events will not end. #Antifa cannot help themselves. I told you. #2024",0.0,1.0,0.7,0.3,"The post suggests an impending civil war and implies that there is a plan to address it, which could be interpreted as a call for violence or preparation for conflict. The mention of specific groups like Democrats and Antifa in a negative context may also be seen as demeaning or degrading. The use of hashtags related to violent events (#CapitalGazette) adds to the potential for the post to be seen as inciting violence or promoting a hostile environment. However, the language is somewhat indirect, which might lead to some disagreement among annotators.","The post suggests an impending civil war and implies that there is a plan to address it, which could be interpreted as a call for violence or preparation for conflict. The mention of specific groups like Democrats and Antifa in a negative context may also be seen as demeaning or degrading. The use of hashtags related to violent events (#CapitalGazette) adds to the potential for the post to be seen as inciting violence or promoting a hostile environment. However, the language is somewhat indirect, which might lead to some disagreement among annotators.",0.7
56,56,937,"#CapitalGazette makes #journalists wail over political violence. They picked a side in the cultural war and we all know it. To raise a white flag of neutrality and then attack is called 'perfidy', a war crime. War criminals get shot. Should have thought it through before picking sides.",0.0,1.0,0.7,0.3,"The post contains language that could be interpreted as a call for violence, as it mentions 'war criminals get shot' in the context of journalists being accused of 'perfidy,' a war crime. This could be seen as an incitement to violence against journalists. Additionally, the post uses charged language related to a 'cultural war,' which may be seen as demeaning or degrading to those it targets. The language is provocative and could be interpreted as threatening, leading to a higher likelihood of being classified as hate speech by annotators. However, the post does not contain explicit vulgarity or offensive language, which might lead some annotators to classify it as not hate speech, resulting in some disagreement.","The post uses language that suggests violence against journalists, referring to them as 'war criminals' who 'get shot.' This can be interpreted as a call for violence, which is a key aspect of hate speech. The mention of a 'cultural war' and the accusation of 'perfidy' further adds to the aggressive tone, potentially demeaning journalists. While the post does not use explicit vulgar or offensive language, the implications of violence and the charged political context make it likely that a significant portion of annotators would classify it as hate speech. However, the lack of explicit slurs or profanity might lead some to see it as not hate speech, resulting in some level of disagreement among annotators.",0.7
79,79,1328,100 ISIS Terrorists Caught in Guatemala as Migrant Caravan of Military-Aged Males Marches to U.S. https://www.thegatewaypundit.com/2018/10/100-isis-terrorists-caught-in-guatemala-as-migrant-caravan-of-military-aged-males-marches-to-u-s/ via @gatewaypundit,0.0,1.0,0.6,0.4,"The post makes a claim about ISIS terrorists being caught in Guatemala and associates them with a migrant caravan heading to the U.S. This could be seen as an assault on human dignity by implying that migrants, particularly those of military age, are potential terrorists. The language used may contribute to fear-mongering and xenophobia, which are often associated with hate speech. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators about whether it constitutes hate speech.","The post claims that 100 ISIS terrorists were caught in Guatemala and links them to a migrant caravan heading to the U.S. This could be interpreted as an assault on human dignity by suggesting that migrants are potential terrorists, which may incite fear and prejudice. The post does not contain explicit calls for violence or vulgar language, but the implication of associating migrants with terrorism could be seen as promoting hate speech. Therefore, there might be some disagreement among annotators, but a significant portion may classify it as hate speech due to the negative portrayal of migrants.",0.6
91,91,1557,And what is l ft of Fox after Disney buys most of it is still owned by someone who owes his  allegiance ultimately to a country not the US.  Rubbery Murdoch the archetypal Neocon of course he puts filth on.,0.0,1.0,0.6,0.4,"The post contains elements that could be interpreted as hate speech, particularly in the context of 'assaults on human dignity.' The phrase 'owes his allegiance ultimately to a country not the US' could be seen as a derogatory insinuation about the loyalty of an individual based on their nationality or ethnicity, which may be perceived as demeaning. Additionally, the term 'filth' could be considered offensive language. However, the post does not explicitly call for violence or use overtly vulgar language, which might lead to some disagreement among annotators about its classification as hate speech.","The post makes a potentially derogatory statement about an individual's allegiance to a country other than the US, which could be interpreted as an assault on human dignity, particularly if it implies a negative stereotype or bias based on nationality or ethnicity. The use of the term 'filth' could be seen as offensive language, although it is not explicitly vulgar. There is no direct call for violence. Given these factors, there might be some disagreement among annotators, but a significant portion may still classify it as hate speech due to the implications of the language used.",0.6
120,120,2079,Israel should be taken to (((International Criminal Court))) over Gaza massacre: Turkish FM ,0.0,1.0,0.6,0.4,"The post uses triple parentheses around 'International Criminal Court,' which is often used as an anti-Semitic dog whistle to imply Jewish control or influence. This can be seen as an assault on human dignity by demeaning a group based on ethnicity or religion. The post also accuses Israel of a 'massacre,' which could be interpreted as a call for accountability or justice, but the language used may be seen as inflammatory. Given these elements, there is likely to be some disagreement among annotators, but a significant portion may classify it as hate speech due to the use of anti-Semitic symbols and language.","The post contains elements that could be interpreted as hate speech, particularly the use of triple parentheses, which is a known anti-Semitic symbol. This suggests an assault on human dignity by implying Jewish control or influence. The accusation of a 'massacre' could be seen as inflammatory, although it may also be interpreted as a call for justice. The combination of these elements suggests a moderate level of disagreement among annotators, with a tendency towards classifying it as hate speech.",0.6
126,126,2144,"I actually doubt this, and here's why: TDS needs Eric Striker for shekels. The only show worth listening to behind the paywall is Strike and Mike, and everyone knows it.   Jazz and Jesse fucking blows, and an extra episode of TDS isn't worth it for a lot of people. I'm sure they would love to get rid of him though, but they can't.",0.0,1.0,0.7,0.3,"The post contains potentially offensive language and references that could be interpreted as anti-Semitic, such as the use of 'shekels,' which is often used in a derogatory manner to imply Jewish greed. This could be seen as an assault on human dignity based on ethnicity. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. The context of the post and the specific references may not be clear to all readers, leading to a moderate level of disagreement.","The post contains potentially offensive language and references that could be interpreted as anti-Semitic, such as the use of 'shekels,' which is often used in a derogatory manner to imply Jewish greed. This could be seen as an assault on human dignity based on ethnicity. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. The context of the post and the specific references may not be clear to all readers, leading to a moderate level of disagreement. Therefore, I predict that 70% of annotators might classify this as hate speech, while 30% might not.",0.7
129,129,2183,You worship the descendants of the Pharisees because they are in world power. Nice going.,0.0,1.0,0.6,0.4,"The post makes a derogatory reference to 'the descendants of the Pharisees,' which can be interpreted as a veiled reference to Jewish people, given the historical context of the Pharisees in Jewish history. This could be seen as an assault on human dignity by demeaning a group based on religious or ethnic background. The language used suggests a conspiracy theory about world power, which is a common anti-Semitic trope. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators about its classification as hate speech. Therefore, there is likely to be some level of disagreement, but a majority might still classify it as hate speech due to the implied derogatory and conspiratorial content.","The post contains language that could be interpreted as anti-Semitic, as it references 'the descendants of the Pharisees' in a negative context related to world power. This aligns with common anti-Semitic tropes about Jewish people controlling global affairs. While the post does not explicitly call for violence or use vulgar language, it does assault human dignity by potentially demeaning a religious or ethnic group. Given the historical and cultural context, this post is likely to be seen as hate speech by a significant portion of annotators, though some may not see it as explicit enough to warrant that label. Therefore, I predict a moderate level of disagreement, with a higher percentage classifying it as hate speech.",0.6
139,139,2341,"I like the X22 Report too! The Deep State is in retreat all over the world, and the Parkland, FL false flag attack will soon fade away. Trump's loyal special forces troops are taking out the traitors and CIA criminals.",0.0,1.0,0.6,0.4,"The post references a 'false flag attack' regarding the Parkland, FL incident, which can be seen as an assault on human dignity by denying the reality of a tragic event. It also mentions 'taking out traitors and CIA criminals,' which could be interpreted as a call for violence against certain groups. The language used is not overtly vulgar, but the content is conspiratorial and potentially harmful. Given these elements, there is likely to be some disagreement among annotators, but a significant portion may classify it as hate speech due to the implications of violence and denial of real events.","The post contains elements that could be interpreted as hate speech, particularly in the context of conspiracy theories and implied violence. The mention of a 'false flag attack' in relation to the Parkland shooting can be seen as an assault on human dignity, as it denies the reality of a tragic event and disrespects the victims and their families. Additionally, the phrase 'taking out the traitors and CIA criminals' could be interpreted as a call for violence against certain groups, which aligns with the 'calls for violence' aspect of hate speech.

While the language is not overtly vulgar or offensive, the content is conspiratorial and potentially harmful. The post's interpretation may vary among annotators, with some viewing it as a harmful conspiracy theory that borders on hate speech, while others may see it as merely expressing a controversial opinion. This could lead to a moderate level of disagreement among annotators.

Given these considerations, I predict that a significant portion of annotators might classify this post as hate speech due to its implications of violence and denial of real events, while others may not see it as crossing the threshold into hate speech. Therefore, the estimated percentages are [0.6, 0.4].",0.6
