,Text,Annotator_0,Annotator_11
0,"NATO is lying, again. Merkel has unlimited crime associated with Muslim immigrants in Germany. Austria and Hungary have both banned islamics and expelled those who entered. Their crime rates have dropped. https://www.nationalreview.com/news/nato-defense-spending-increases-pledged/  NATO needs to understand that Russia just wants money.",1,0
1,LOOK WHO'S DRIVING A LAMBORGHINI????BECAUSE (((SHERIFF ISRAEL))) OF THE COWARD COUNTY SHERIFF'S DEPARTMENT LIKES TO RUN AWAY FROM TROUBLE AS QUICK AS HE CAN.....,1,0
2,"So when Hitler killed the Jews, he wanted to take over another planet? Imagine, a planet taken over by National Socialists, then Earth would be capitalists vs communists.",1,0
3,#QAnon - How the Media Controls What We Think https://youtu.be/BgKK8KzNHJs via @YouTube,1,0
4,"like Russia has squeaky clean hands in this area !!- while you're watching one hand , be weary of what the other hand might be doing ",1,0
5,Thug-ette and the Flab Four appearing tonight only at Applebee's.,1,0
6,He shops at the same Muslim clothing store as Obama's father ?,1,0
7,"""Vote for me or you're a racist"" -Oprah's 2020 campaign slogan",1,0
8,Darn.  This is a parody account.  He's very clever and funny.  It's really hard to tell sometimes with low IQ Max,1,0
9,"Slight correction: ""If Vox Day were not of the type to get butthurt over some nonsense nondrama and lash out at Gab like the over-inflated buffoon he is...""",1,0
10,"Carbs, which make you tired so you don't exercise, and hungry so you eat more. They think they are eating the right things because the USDA tells them so. But they probably don't really eat much more than thinner people. Their diet reduces their metabolism so much that 2000 calories a day can keep them fat.  Eventually it affects mood and cognition, and viola, you have a progressive feminist. Fat, infertile, with perverse desires, and distorted ideas.",0,1
11,"What do you mean ""who's the target?"" Mueller.",1,0
12,the last person who said that was Garry Burns who's videos you host. Why do you host a pedophiles videos who threatens to rape / sodomize murder anti-pedophilia activists? Why are you on team child rape? https://twitter.com/StopBoylover/status/1005460451046539265 https://www.youtube.com/watch?v=zB0pxOMoJ04 ,1,0
13,This is the 'jerk' who did the cartoon of Brett Kavanaugh's daughter praying ..maybe you'd like to give him your opinion of him  ,1,0
14,I’m all for Jews looking after their people and Country (Israel). ,1,0
15,Get this shocking revelation and ponder it for the  ,1,0
16,How democrats think this is sane is beyond me. You will find out the terrorist have bought in to our gov. and this shit is the result of the traitors selling out America.  ,1,0
17,"New from Dr Jules Gomes: ""The Archbishop of Canterbury’s bugbear is not poverty; it’s inequality. He doesn’t love the poor as much as he hates the rich. It’s not that Britain’s poor have too little; it’s that Britain’s wealthy have too much."" ",1,0
18,steyer's still up to his FRAUDULENT ways -- bcz steyer thinks he's ABOVE THE LAW just like all the other dems do... ,1,0
19,"I agree completely.  This guy is major disappointment:  All balls, no pecker... 😶",1,0
20,"nothing will be done those bastard will buy 70,000 dollar desk and fuck the American people like always",1,0
21,You 'researched' ,1,0
22," MERKUNS LOVE MURDERING BABIES NOW???  MERKUNS are PRO-KAVANAUGH but YET ""right"" MERKUNS still go to ANTI-ABORTION RALLIES?????  ARE YOU PEOPLE INSANE!?!?!?!??!?!?  MERKKKUHHH DOES NOT KNOW WHAT LIBERTY IS ANYMORE.",1,0
23,"Yeah, it was.  We never bothered with support bands in those day's, but everyone had heard the album, and I had played mine to death, so they had a massive crowd. It was obvious to everyone that they were going to be massive, the rest is history. The guy with the bust head survived. 😅",1,0
24,The FBI lost 5 months worth of text messages between anti-Trump agents; ,1,0
25,"Do the Evangelical Whores, Mr. and Mrs. Pence know a war is coming to North Korea as they do a Kaepernick? ",1,0
26,California's going to have a Blade Runner/Orwellian future if they keep this up ,1,0
27,I see NRA ads everyday on Youtube. ,1,0
28,"""Coming to you next, Jews have found a new way to kill Aryans, and yes it will all happen in space.""",1,0
29,"Anyone truly care what this stupid bitch has to say, much less thinks....?",1,0
30,"...and thank the gods for it. Without a Jew calling me a Nazi on Twitter solely because of my native European spirituality, I never would have looked beyond ""the bad guy"" to see what National Socialists actually were and are.  Yes, thank the gods for good old freudian slip-ups.",1,0
31,Imagine those hands giving you a hand job. Yikes,1,0
32,"'“We have to let people come in. They’re going to be guest workers, they’re going to come in, they’re going to work on your farms, we’re going to have the H-2Bs come in, we’re going to have a lot of things happening,” Trump said. ",1,0
33,"You having ""allegedly"" eaten monkey brains would explain so much.",1,0
34,Can you imagine the uproar if a Republican had said that about Obama.           https://www.hannity.com/media-room/call-to-arms-ny-democrat-urges-citizens-to-take-up-arms-against-trump/amp/?__twitter_impression=true,1,0
35,why r u so triggered at people with a different opinion than u using a website,1,0
36,"Statue of the great explorer Capt Cook vandalized. no pride scrawled in pink, must of meant themselves because Cook had everything to be proud of. ",1,0
37,LukeJR? This clown needs to find a roof and take a walk. ,1,0
38,"The ONLY strong and clear message coming from the American 'intelligence' community, which @CBS (emphasis on BS) won't cover is 'we are a rogue state within a state and elected American officials can't reign us in'",1,0
39,"I can't help but laugh when I hear this way of speaking.  I don't give a shit if you're a shitlib, it's hysterical!!",1,0
40,"Here in Texas there’s an old rallying cry we still apply to add courage to just about any situation. “Remember the Alamo” was used as a revenge motivator during our war with Mexico. On November 6, I want to change that. “Remember Kavanaugh!!!!” When you vote on that day...take revenge on liberals by voting Republican. Please repost this-spread the word",1,0
41,Nolte: Trump Says Washington Post Should Register as Amazon 'Lobbyist' | Breitbart ,1,0
42,Valued for what? Pissing and shitting in the streets and thieving? ,1,0
43,"Joe Rogan - Funny guy, but watching that meat head drop into wise sage mode is cringe-inducing.",1,0
