,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
0,154,"Because they're not a news outlet, they're producing war propaganda for the white genocide.",0.5,0.5,0.6,0.4,"The post uses the term 'white genocide,' which is a phrase often associated with extremist and racist ideologies. This could be seen as an assault on human dignity by promoting a conspiracy theory that targets racial groups. The term 'war propaganda' also suggests a call to action, which could be interpreted as inciting hostility or violence. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. Therefore, there is likely to be some level of disagreement, but the post leans towards being classified as hate speech due to its racially charged language.","The post contains language that is often associated with extremist ideologies, particularly the phrase 'white genocide,' which is commonly used in racist and white supremacist contexts. This suggests an assault on human dignity by promoting a harmful conspiracy theory. The mention of 'war propaganda' could imply a call to action, potentially inciting hostility or violence, although it is not explicit. The lack of vulgar language might lead some annotators to classify it as not hate speech, but the racially charged nature of the content suggests a higher likelihood of being classified as hate speech. Therefore, the predicted percentages are [0.6, 0.4].",0.09999999999999998
1,255,"Slight correction: ""If Vox Day were not of the type to get butthurt over some nonsense nondrama and lash out at Gab like the over-inflated buffoon he is...""",0.5,0.5,0.4,0.6,"The post contains offensive language, specifically the term 'butthurt' and 'over-inflated buffoon,' which could be seen as vulgar or demeaning. However, it does not explicitly target a protected characteristic or call for violence. The language is more likely to be interpreted as a personal attack rather than hate speech, leading to some disagreement among annotators. The post's content is somewhat ambiguous in terms of hate speech, as it could be seen as a harsh critique rather than a hate speech act.","The post uses derogatory language to describe an individual, which may be considered offensive. However, it does not clearly fall into the categories of hate speech that involve assaults on human dignity based on protected characteristics or calls for violence. The vulgarity present is directed at an individual's behavior rather than a group identity. This could lead to a moderate level of disagreement among annotators, as some may view it as offensive but not necessarily hate speech.",0.09999999999999998
2,546,Another perverted Catholic priest.  Deplorable reprobates!  http://via.wnep.com/Uo5Vz,0.5,0.5,0.6,0.4,"The post refers to a Catholic priest as 'perverted' and uses the term 'deplorable reprobates,' which can be seen as an assault on human dignity, particularly targeting a religious group. The language is derogatory and could be interpreted as hate speech by some annotators. However, the post does not explicitly call for violence or use vulgar language, which might lead to some annotators not classifying it as hate speech. This results in a moderate level of disagreement among annotators.","The post targets Catholic priests with derogatory language, labeling them as 'perverted' and 'deplorable reprobates.' This can be seen as an assault on human dignity, particularly targeting a religious group. The language is derogatory and could be interpreted as hate speech by some annotators. However, the post does not explicitly call for violence or use vulgar language, which might lead to some annotators not classifying it as hate speech. This results in a moderate level of disagreement among annotators.",0.09999999999999998
3,647,#Europe #Germany #Rape #Islam #Muslims #Migrants #MuslimMigrants #Immigration #IslamicImmigration ,0.5,0.5,0.6,0.4,"The post uses hashtags that associate Islam and Muslims with negative topics such as rape and immigration, which can be seen as demeaning or degrading to these groups. This could be interpreted as an assault on human dignity, as it implies a negative stereotype about Muslims and migrants. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. The use of hashtags without additional context can lead to varying interpretations, contributing to a moderate level of disagreement.","The post consists of a series of hashtags that link Islam and Muslims with rape and immigration issues. This can be seen as promoting a negative stereotype about Muslims and migrants, which falls under the category of assaults on human dignity. However, the lack of explicit calls for violence or vulgar language might lead to some annotators not classifying it as hate speech. The ambiguity of the post, due to its reliance on hashtags without further context, suggests a moderate level of disagreement among annotators.",0.09999999999999998
4,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,0.4,0.6,0.4,"The post contains vulgar language and expresses a sentiment that could be interpreted as demeaning towards a specific group, in this case, White people of Australia. The use of the phrase 'disgusting picture designed to humiliate' suggests an assault on human dignity. However, the post does not explicitly call for violence, and the offensive language is not directed at a specific individual. The interpretation of this post as hate speech may vary among annotators, leading to a moderate level of disagreement.","The post uses offensive language ('fuck you') and suggests that a picture is intended to humiliate a racial group ('White people of Australia'). This could be seen as an assault on human dignity. However, it does not call for violence, and the offensive language is not directed at a specific person. The interpretation of whether this constitutes hate speech may vary, leading to some disagreement among annotators.",0.0
5,888,"Texans in the vast plains, rivers, and the farmlands must gather, arm up, and declare independence from the United States of America. We are a nation of warriors that fell at the Alamo only to rise victorious, just as the Spartans did in the narrow pass against the Persians.  The USA needs us. We do not need those sickening fucktards",0.5,0.5,0.7,0.3,"The post contains a call for action that could be interpreted as a call for violence or rebellion ('gather, arm up, and declare independence'), which may be seen as inciting violence. The use of offensive language ('sickening fucktards') adds to the potential for it to be classified as hate speech. However, the historical references and the context of Texan independence may lead some annotators to view it as a political statement rather than hate speech, leading to some disagreement.","The post calls for Texans to 'gather, arm up, and declare independence,' which can be interpreted as a call for violence or rebellion against the United States. This aspect aligns with the 'Calls for Violence' category of hate speech. Additionally, the use of the term 'sickening fucktards' is vulgar and offensive, which falls under the 'Vulgarity and/or Offensive Language' category. The historical references to the Alamo and Spartans may be seen as an attempt to frame the message in a historical or cultural context, which could lead to some annotators viewing it as a political statement rather than hate speech. However, the combination of a call to arms and offensive language suggests a higher likelihood of being classified as hate speech by a majority of annotators, though not unanimously, leading to a prediction of [0.7, 0.3].",0.19999999999999996
6,1301,A church in Berlin was damaged after unknown attackers pelted stones at the building while shouting “Allahu Akbar!” https://www.infowars.com/berlin-attackers-hurl-sto...,0.5,0.5,0.4,0.6,"The post reports an incident where a church was attacked, and the attackers reportedly shouted 'Allahu Akbar.' This could be interpreted as an assault on human dignity, particularly if it is perceived as targeting a religious group. However, the post itself is a report of an event and does not contain direct calls for violence or use vulgar language. The context of the report and the source (Infowars) may lead to varying interpretations, with some annotators viewing it as hate speech due to the potential for inciting anti-Muslim sentiment, while others may see it as a straightforward news report. This results in moderate disagreement among annotators.","The post describes an incident where a church in Berlin was attacked with stones, and the attackers reportedly shouted 'Allahu Akbar.' This phrase, often associated with Islamic faith, in the context of an attack on a church, could be interpreted as an assault on human dignity, particularly against religious groups. However, the post itself is a report of an event and does not contain direct calls for violence or vulgar language. The source of the report (Infowars) may also influence perceptions, as it is known for controversial content. Annotators may disagree on whether the post constitutes hate speech, with some viewing it as potentially inciting anti-Muslim sentiment, while others may see it as a straightforward news report. This results in moderate disagreement among annotators.",0.09999999999999998
7,1302,A physician and former Green Beret has tweeted about the dangers of the ‘body positivity’ movement after Cosmopolitan featured an obese model on the cover of its UK edition. https://www.infowars.com/physician-warns-about-dan...,0.5,0.5,0.2,0.8,"The post discusses a physician's opinion on the 'body positivity' movement and its potential dangers, particularly in the context of featuring an obese model on a magazine cover. The post does not contain any direct assaults on human dignity, calls for violence, or use of vulgar or offensive language. It appears to be a critique of a social movement rather than an attack on individuals or groups. Therefore, it is likely to be classified as not hate speech by most annotators, with low disagreement.","The post is a critique of the 'body positivity' movement, specifically in the context of featuring an obese model on a magazine cover. It does not contain language that assaults human dignity, incites violence, or uses vulgarity. The focus is on the potential health implications of promoting body positivity without addressing obesity. This is a topic of public health debate and does not inherently constitute hate speech. Therefore, the post is likely to be classified as not hate speech by the majority of annotators, with low disagreement.",0.3
8,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,0.6,0.7,0.3,"The post makes a sweeping negative statement about Islam and communism, suggesting they are incompatible with a free society and should be banned for the United States to survive. This can be seen as an assault on human dignity, particularly towards Muslims, by implying that their beliefs are inherently incompatible with freedom. The call to ban these ideologies could be interpreted as a call for exclusion or discrimination, which may be perceived as a form of hate speech. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators. Therefore, there is likely to be some level of disagreement, but the post leans towards being classified as hate speech due to its exclusionary and demeaning nature.","The post suggests that Islam and communism are incompatible with a free society and should be banned for the United States to survive. This can be interpreted as an assault on human dignity, particularly towards Muslims, as it implies that their beliefs are inherently incompatible with freedom. The post does not explicitly call for violence, but it does suggest exclusion and discrimination against certain ideologies. There is no vulgar or offensive language used, but the content itself is exclusionary and demeaning. Given these factors, there is likely to be some disagreement among annotators, but the post leans towards being classified as hate speech due to its exclusionary and demeaning nature.",0.29999999999999993
9,1320,Commies  They need to be driven from this world. Now. And forever Misanthrope,0.5,0.5,0.8,0.2,"The post uses the term 'Commies' in a derogatory manner, which could be interpreted as an assault on human dignity, particularly against individuals with communist beliefs. The phrase 'They need to be driven from this world. Now. And forever' can be seen as a call for violence or at least a call for the eradication of a group, which is a strong indicator of hate speech. The language is clear and direct, suggesting a low level of disagreement among annotators about its classification as hate speech.","The post contains elements that are likely to be classified as hate speech by a majority of annotators due to its clear call for the removal of a group ('Commies') from the world, which can be interpreted as a call for violence or eradication. The use of the term 'Commies' is derogatory and targets a specific ideological group, which aligns with assaults on human dignity. Given the clarity and directness of the language, it is expected that there would be low disagreement among annotators, with a higher percentage classifying it as hate speech.",0.30000000000000004
10,1325,To the human Catholic clergy You damn fools to allow this to happen Homosexuals The smoke of Satan Misanthrope,0.5,0.5,0.5,0.5,"The post contains ambiguous language that could be interpreted in different ways. It mentions 'homosexuals' and 'the smoke of Satan,' which could be seen as demeaning or degrading to a group based on sexual orientation, potentially falling under 'Assaults on Human Dignity.' However, the context is not entirely clear, and it does not explicitly call for violence or use vulgar language. The reference to 'the smoke of Satan' could be metaphorical or symbolic, leading to varied interpretations. Therefore, there is likely to be high disagreement among annotators regarding whether this constitutes hate speech.","The post contains language that could be interpreted as demeaning towards homosexuals, referring to them in a negative context alongside 'the smoke of Satan.' This could be seen as an assault on human dignity based on sexual orientation. However, the post does not explicitly call for violence or use vulgar language, making it somewhat ambiguous. The phrase 'the smoke of Satan' is metaphorical and could be interpreted in various ways, leading to potential disagreement among annotators. Therefore, I predict a balanced distribution of annotators classifying it as hate speech versus not hate speech, with percentages around [0.5, 0.5].",0.0
11,1447,"Top Psychiatrist: Today’s Left Are Mentally Ill https://yournewswire.com/psychiatrist-left-mentall... via @yournewswire    we already knew this, but it's nice to have it officially confirmed.",0.5,0.5,0.6,0.4,"The post makes a sweeping generalization about a political group, labeling them as 'mentally ill,' which can be considered an assault on human dignity. This type of language can be seen as demeaning and degrading to individuals who identify with or support leftist ideologies. However, it does not contain explicit calls for violence or use vulgar language. The statement is likely to be interpreted as hate speech by some annotators due to its derogatory nature, but others may see it as a hyperbolic political opinion, leading to some level of disagreement.","The post claims that a psychiatrist has labeled the political left as 'mentally ill,' and the author expresses agreement with this claim. This can be seen as an assault on human dignity, as it demeans a group based on their political beliefs. The post does not contain calls for violence or vulgar language, but the derogatory nature of the statement could lead to it being classified as hate speech by some annotators. However, others might interpret it as a political opinion rather than hate speech, resulting in a moderate level of disagreement among annotators.",0.09999999999999998
12,1580,I wouldn't be too surprised if Luke started interrogating random white kids in a chemotherapy ward.,0.5,0.5,0.6,0.4,"The post implies a negative stereotype or accusation against an individual named Luke, suggesting he would engage in inappropriate or harmful behavior towards 'random white kids in a chemotherapy ward.' This could be interpreted as an assault on human dignity, as it targets a specific individual with a potentially harmful stereotype. However, the post does not explicitly call for violence or use vulgar language, which might lead to some disagreement among annotators about its classification as hate speech. The context and intent behind the statement are ambiguous, leading to a moderate level of disagreement.","The post suggests a negative action by an individual named Luke, implying he would interrogate vulnerable children in a chemotherapy ward. This could be seen as demeaning or degrading, particularly as it targets a specific racial group ('white kids'). However, the post does not contain explicit calls for violence or use vulgar language, which might lead to some annotators not classifying it as hate speech. The ambiguity in the intent and context of the statement could result in moderate disagreement among annotators.",0.09999999999999998
