,Annotator Pair,Disagreements
2,"(0, 13)",1738
3,"(0, 11)",1537
4,"(0, 1)",1512
10,"(0, 7)",1403
17,"(7, 11)",642
12,"(6, 11)",634
14,"(3, 6)",568
5,"(1, 7)",550
16,"(7, 12)",541
18,"(3, 11)",538
11,"(2, 12)",493
28,"(8, 10)",483
8,"(5, 12)",458
9,"(2, 5)",455
21,"(4, 8)",451
27,"(8, 15)",444
23,"(11, 13)",434
0,"(9, 13)",352
26,"(11, 12)",335
1,"(13, 17)",323
7,"(9, 17)",307
20,"(4, 15)",243
22,"(4, 10)",196
33,"(10, 15)",193
15,"(7, 13)",172
29,"(2, 7)",125
35,"(10, 14)",101
19,"(2, 11)",90
34,"(4, 14)",88
25,"(3, 7)",73
44,"(14, 15)",69
43,"(8, 14)",62
24,"(12, 13)",61
13,"(6, 7)",53
36,"(0, 16)",31
47,"(10, 17)",24
6,"(0, 12)",20
54,"(7, 16)",20
39,"(3, 13)",19
57,"(10, 13)",17
49,"(0, 3)",16
51,"(2, 3)",14
58,"(15, 17)",14
42,"(5, 11)",14
48,"(9, 10)",12
60,"(8, 13)",12
66,"(8, 17)",11
31,"(5, 13)",11
71,"(12, 16)",10
62,"(4, 17)",10
50,"(3, 12)",9
56,"(13, 15)",9
32,"(2, 13)",9
53,"(13, 16)",8
59,"(9, 15)",8
55,"(3, 5)",7
37,"(5, 16)",6
72,"(11, 16)",5
63,"(14, 17)",5
73,"(4, 13)",5
65,"(13, 14)",5
41,"(1, 3)",4
61,"(3, 16)",4
67,"(9, 14)",4
40,"(6, 13)",4
38,"(2, 16)",4
45,"(9, 16)",3
30,"(9, 11)",3
74,"(4, 9)",3
70,"(6, 16)",3
68,"(16, 17)",3
46,"(3, 17)",2
76,"(11, 17)",1
69,"(3, 9)",1
52,"(1, 11)",0
64,"(8, 9)",0
75,"(1, 13)",0
77,"(8, 11)",0
