,ID,Text,Hate_pos,Hate_pos_LLM,Hate_neg_LLM,Opinions_LLM,Raw_output_LLM,Hate_diff
0,761,Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.6,0.3,0.7,"[""The post uses vulgar language ('fuck'), which may be considered offensive but not necessarily hate speech."", 'The post expresses a negative sentiment towards Spotify, which is not related to hate speech.', ""The phrase 'a disgusting picture designed to humiliate the White people of Australia' could be interpreted as an assault on human dignity, as it suggests that the post is defending a racial group from perceived humiliation."", 'Some annotators might see the post as defending a racial group (White people) and not as hate speech, but rather as a critique of perceived racial insensitivity.', 'Others might interpret the post as potentially inciting racial tension by framing the issue as an attack on a racial group, which could be seen as a form of hate speech.']","The post contains vulgar language and expresses a sentiment of being offended by a picture that allegedly humiliates White people in Australia. Annotators might be divided on whether this constitutes hate speech. Some may see it as a defense of a racial group and not hate speech, while others might view it as inciting racial tension. Therefore, there is likely to be some disagreement among annotators, but the majority might not classify it as hate speech. Predicted percentages: 30% hate speech, 70% not hate speech.",0.3
1,1303,"A White House petition calling on Congress to defend free speech online is set to surpass 100,000 signatures by the end of today, just three days after it was launched. https://www.infowars.com/white-house-petition-to-d...",0.0,0.0,1.0,"['The post is a neutral report about a petition and does not contain any hate speech elements.', 'The post does not assault human dignity as it does not demean or degrade any individual or group.', 'There are no calls for violence in the post; it merely reports on a petition related to free speech.', 'The post does not contain vulgarity or offensive language; it is a straightforward news report.']","The post is a straightforward report about a petition related to free speech and does not contain elements of hate speech. It does not assault human dignity, call for violence, or use vulgar or offensive language. Therefore, it is likely that 0% of annotators would classify it as hate speech, and 100% would classify it as not hate speech. The disagreement level is low as the post is clear and lacks any hate speech indicators.",0.0
2,1313,No humans can deliver God’s word. Read the gospels and interpret them in you heart. After the last apostle died man was on his own. Humans to flawed to preach.,0.0,0.05,0.95,"['The post does not contain any assaults on human dignity as it does not demean or degrade any specific group based on race, ethnicity, gender, religion, sexual orientation, or other protected characteristics.', 'The post does not call for violence or incite physical harm against any individuals or groups.', 'The post does not contain vulgarity or offensive language. It discusses religious beliefs and interpretations without using profanity or slurs.', 'Some annotators might view the post as expressing a personal religious belief rather than hate speech.', 'The post could be seen as critical of religious leaders or institutions, but it does not explicitly attack or demean them.']","The post is likely to be classified as not hate speech by the majority of annotators. It does not contain elements that typically characterize hate speech, such as assaults on human dignity, calls for violence, or vulgar language. The opinions suggest that the post is more about personal religious interpretation and critique of human fallibility in religious preaching, which is not inherently hateful. Therefore, I predict that 5% of annotators might classify it as hate speech due to potential perceived criticism of religious institutions, while 95% would classify it as not hate speech.",0.05
3,1314,"There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned",0.4,0.6,0.4,"['The post may be seen as an assault on human dignity as it targets Islam, a religion, suggesting it is incompatible with a free society and should be banned, which could be interpreted as demeaning to Muslims.', 'The post does not explicitly call for violence, but the suggestion to ban Islam and communism could be seen as advocating for exclusionary or discriminatory policies.', 'The language used in the post is not overtly vulgar or offensive, but the sentiment expressed could be considered offensive to those who identify with Islam or communism.', 'Some annotators might view the post as expressing a political opinion rather than hate speech, focusing on the ideological critique rather than the potential for discrimination.']","The post is likely to generate some disagreement among annotators. While it does not contain explicit calls for violence or vulgar language, it does target a specific religion and political ideology, which could be seen as demeaning or exclusionary. Some annotators might classify it as hate speech due to its potential to degrade or exclude based on religion and ideology, while others might see it as a political opinion. Therefore, there is a moderate level of disagreement, with an estimated 60% of annotators classifying it as hate speech and 40% not classifying it as such.",0.19999999999999996
4,1315,John McCain The word Humility does not apply to that family. What a disgrace,0.2,0.1,0.9,"['The post does not contain any explicit assaults on human dignity as it does not target a protected characteristic such as race, ethnicity, gender, etc.', 'The post does not contain any calls for violence or incitement to physical harm.', ""The post uses the word 'disgrace,' which could be considered offensive or disrespectful, but it is not vulgar or a slur."", 'The post is a personal opinion about a public figure and their family, which may be seen as critical but not necessarily hate speech.']","The post is likely to be classified as not hate speech by the majority of annotators, as it lacks elements of hate speech such as assaults on human dignity, calls for violence, or vulgar language. The use of the word 'disgrace' may be seen as offensive by some, but it is not sufficient to categorize the post as hate speech. Therefore, I predict that 10% of annotators might classify it as hate speech due to perceived offensiveness, while 90% would classify it as not hate speech.",0.1
5,1442,"By nearly every metric, we're doing better under Trump than Obama:    Unemployment at near record lows   Black unemployment at record lows   GDP higher than its been in years   Taxes lower for most people   Stock exchanges at record highs    So why do the left hate him so much?   🤔🤔🤔",0.2,0.05,0.95,"['The post does not contain any assaults on human dignity as it does not demean or degrade individuals or groups based on protected characteristics.', 'The post does not contain calls for violence or encourage physical harm against individuals or groups.', 'The post does not contain vulgarity or offensive language, as it uses neutral language to present political opinions and statistics.', 'Some annotators might view the post as politically biased or provocative, but not as hate speech.', 'The post could be seen as expressing a political opinion rather than engaging in hate speech.']","The post is likely to be classified as not hate speech by the majority of annotators, as it does not exhibit characteristics of hate speech such as assaults on human dignity, calls for violence, or vulgarity. It is more likely to be seen as a political opinion piece. Therefore, I predict that 5% of annotators might classify it as hate speech due to perceived political bias or provocation, while 95% would classify it as not hate speech.",0.15000000000000002
6,1678,"free speech Twitter alternative Gab. Although Gab has experienced a surge of users following the big tech blacklisting of Alex Jones, as well as a wave of users from Kenya and Brazil following social media crackdowns related to those countries",0.2,0.1,0.9,"['Some annotators might view the post as not hate speech because it primarily discusses the growth of a social media platform and user migration without any explicit demeaning language or calls for violence.', ""Other annotators might consider the post as potentially problematic due to the mention of 'big tech blacklisting' and 'social media crackdowns,' which could imply a context of censorship or suppression, but this does not directly constitute hate speech."", 'Some annotators might focus on the mention of specific countries (Kenya and Brazil) and assess whether there is any implicit bias or negative stereotyping, but the post does not explicitly demean these groups.']","The post is likely to be classified as not hate speech by the majority of annotators, as it does not contain explicit demeaning language, calls for violence, or vulgarity. However, a small percentage might see potential issues related to the context of censorship or the mention of specific countries, leading to a minority classifying it as hate speech.",0.1
7,2059,Study: Google Pushes Liberal News in Top 5 Search Suggestions via @descarteslover http://bit.ly/2NAEfo6,0.0,0.0,1.0,"['The post is not hate speech as it does not demean or degrade any individuals or groups based on protected characteristics.', 'The post does not contain any calls for violence against individuals or groups.', 'The post does not use vulgarity or offensive language.', 'The post may be seen as expressing a political opinion or critique, which is not inherently hate speech.']","The post is likely to be classified as not hate speech by the majority of annotators, as it does not exhibit any of the aspects of hate speech such as assaults on human dignity, calls for violence, or vulgarity. It appears to be a statement about perceived media bias, which is a political opinion rather than hate speech. Therefore, I predict that 0% of annotators would classify it as hate speech, and 100% would classify it as not hate speech.",0.0
8,2060,"Abortion: The Left tried to get Legislation passed, they lost. Went to a Liberal Supreme Court and forced it on us.  Gay Marriage: Tried to pass it in States, they lost. Tried to pass it in Congress, they lost.  Went to a Liberal Judge and forced it on us.   Trump: They lost to him now they seek to remove him from office. Are you seeing a pattern here?",0.2,0.1,0.9,"['The post expresses a political opinion without directly demeaning or degrading any specific group, so it may not be considered hate speech by some annotators.', ""The post uses the term 'forced it on us,' which could be interpreted as an assault on human dignity by implying that certain groups are imposing their will on others, potentially leading some annotators to view it as hate speech."", 'The post does not contain any explicit calls for violence, so it is unlikely to be classified as hate speech based on this aspect.', 'The post does not use vulgarity or offensive language, which may lead some annotators to classify it as not hate speech.']","The post is likely to result in low disagreement among annotators. While it expresses a strong political opinion, it does not contain explicit hate speech elements such as vulgarity, calls for violence, or direct assaults on human dignity. Therefore, it is predicted that 10% of annotators might classify it as hate speech due to the phrase 'forced it on us,' while 90% would classify it as not hate speech.",0.1
9,2061,"Socialists have been claiming for a century or more that Capitalism doesn't have the facts on its side.  Losing that argument, they now claim that facts don't matter.  Rinse and repeat.",0.6,0.1,0.9,"['The post is a critique of socialists and their arguments against capitalism, but it does not target any specific individual or group based on protected characteristics, so it may not be considered hate speech.', 'The post does not contain any calls for violence or incitement to harm, so it is unlikely to be classified as hate speech based on this aspect.', 'The language used in the post is not vulgar or offensive, and it does not include slurs, so it may not be considered hate speech based on language.', 'Some annotators might view the post as dismissive or derogatory towards socialists, but since political ideology is not a protected characteristic, it may not be classified as hate speech.']","The post is likely to be classified as not hate speech by the majority of annotators, given that it does not target protected characteristics, incite violence, or use offensive language. There may be a small percentage of annotators who view it as derogatory towards a political group, but this is unlikely to constitute hate speech. Therefore, the predicted percentages are approximately 10% for hate speech and 90% for not hate speech.",0.5
10,2062,I am a Roman Catholic.  Our church is corrupt.  We need reformation.,0.4,0.0,1.0,"['The post is a critique of the Roman Catholic Church and does not target individuals or groups based on protected characteristics, so it is not hate speech.', 'The post does not incite or encourage violence against any individuals or groups, so it is not hate speech.', 'The post does not contain vulgarity, slurs, or offensive language, so it is not hate speech.', 'The post expresses a personal opinion about the need for reformation within the church, which is a common topic of discussion and debate.']","The post is a personal critique of the Roman Catholic Church, focusing on the need for reformation. It does not target individuals or groups based on protected characteristics, nor does it incite violence or use offensive language. Therefore, it is unlikely to be classified as hate speech by annotators. The disagreement level is low, as the post is clearly not hate speech. The predicted percentages are [0.0, 1.0], indicating that 0% of annotators would classify it as hate speech, and 100% would classify it as not hate speech.",0.4
